uptime;temp;mem_free;load
5029782;33;32612224;0
6036880;32;32394544;6
7047211;32;32055504;0
8062765;32;31678464;6
9083142;32;31306000;0
10103491;32;31003408;0
11133996;32;30755408;7
12165285;32;30297824;11
13195273;32;29827088;8
14225704;32;29425520;3
15255846;32;29010896;4
16307057;32;28501936;4
17357505;32;28120448;11
18407768;32;27707280;3
19458667;32;27284496;0
20508858;32;26868896;42
21560304;32;26444544;3
22612050;32;26016144;6
23662753;32;25588848;6
24714023;32;25153328;8
25771615;32;24718976;0
26866399;32;24344224;0
27963469;32;23897152;7
29064001;32;23474768;7
30164787;32;23047488;42
31265120;32;22631888;46
32353998;32;32489232;94
