uptime;angle;pulse_us;done
5012398;90;1500;0
5582038;106;1677;0
5601702;90;1500;0
5612492;99;1600;0
5621848;96;1566;0
5632775;85;1444;0
5641746;88;1477;0
5652364;111;1733;0
5661743;108;1700;0
5672405;83;1422;0
5692496;88;1477;0
5712465;107;1688;0
5721848;108;1700;0
5732621;81;1400;0
5741863;83;1422;0
5752447;84;1433;0
5761838;85;1444;0
5772907;88;1477;0
5781883;85;1444;0
5802541;94;1544;0
5811846;97;1577;0
5822506;99;1600;0
5832047;98;1588;0
5842513;97;1577;0
5851834;96;1566;0
5862493;104;1655;0
5882589;98;1588;0
5891871;97;1577;0
5902518;87;1466;0
5911871;88;1477;0
5922485;90;1500;0
5931972;89;1488;0
5951859;92;1522;0
5962466;89;1488;0
5971849;87;1466;0
5982651;99;1600;0
6002491;90;1500;0
6011840;91;1511;0
6022574;85;1444;0
6038591;84;1433;0
6042494;107;1688;0
6062472;100;1611;0
6071843;102;1633;0
6082510;86;1455;0
6091991;88;1477;0
6102487;96;1566;0
6111832;95;1555;0
6122785;86;1455;0
6142614;83;1422;0
6151850;84;1433;0
6162483;103;1644;0
6171833;102;1633;0
6182504;82;1411;0
6191969;83;1422;0
6202485;101;1622;0
6211827;99;1600;0
6222522;90;1500;0
6231871;89;1488;0
6242717;102;1633;0
6262474;90;1500;0
6271837;87;1466;0
6282471;101;1622;0
6291966;102;1633;0
6302465;84;1433;0
6311844;83;1422;0
6322481;98;1588;0
6331848;100;1611;0
6342593;98;1588;0
6351868;96;1566;0
6362495;95;1555;0
6371857;96;1566;0
6382452;99;1600;0
6391966;98;1588;0
6402505;83;1422;0
6411862;82;1411;0
6422489;93;1533;0
6431854;95;1555;0
6462463;99;1600;0
6482441;90;1500;0
6491946;91;1511;0
6502519;86;1455;0
6522484;94;1544;0
6531834;93;1533;0
6542614;84;1433;0
6551827;86;1455;0
6562507;97;1577;0
6622504;94;1544;0
6631853;92;1522;0
6642731;84;1433;0
6662492;96;1566;0
6742599;95;1555;0
6762491;92;1522;0
6771866;91;1511;0
6782518;84;1433;0
6802510;96;1566;0
6822504;90;1500;0
6831861;92;1522;0
6842749;96;1566;0
6862374;84;1433;0
6871753;87;1466;0
6882416;88;1477;0
6891878;85;1444;0
6902412;84;1433;0
6962448;96;1566;0
6982489;92;1522;0
6991964;90;1500;0
7002510;87;1466;0
7011847;86;1455;0
7022592;96;1566;0
7049689;93;1533;0
7051783;95;1555;0
7072631;90;1500;0
7081864;87;1466;0
7092500;90;1500;0
7101988;92;1522;0
7112536;96;1566;0
7132516;88;1477;0
7141852;91;1511;0
7152658;96;1566;0
7172497;95;1555;0
7192500;97;1577;0
7202010;98;1588;0
7212548;92;1522;0
7221873;95;1555;0
7232493;89;1488;0
7241871;87;1466;0
7253180;97;1577;0
7261770;98;1588;0
7302594;84;1433;0
7322506;97;1577;0
7331863;96;1566;0
7342553;83;1422;0
7352005;82;1411;0
7362526;98;1588;0
7371870;97;1577;0
7382535;84;1433;0
7391861;85;1444;0
7402621;96;1566;0
7411865;95;1555;0
7422548;97;1577;0
7442483;82;1411;0
7462488;98;1588;0
7502600;88;1477;0
7511873;86;1455;0
7522541;88;1477;0
7531886;89;1488;0
7542495;81;1400;0
7562505;85;1444;0
7582493;100;1611;0
7602637;87;1466;0
7622529;80;1388;0
7642514;87;1466;0
7652075;85;1444;0
7662487;100;1611;0
7682492;83;1422;0
7691854;82;1411;0
7702642;100;1611;0
7722543;85;1444;0
7731859;86;1455;0
7742493;88;1477;0
7762490;100;1611;0
7782492;81;1400;0
7791852;79;1377;0
7802636;92;1522;0
7811841;93;1533;0
7822540;84;1433;0
7831843;82;1411;0
7842518;79;1377;0
