uptime;angle;pulse_us;done
5013760;90;1500;0
5583114;106;1677;0
5602194;90;1500;0
5612974;93;1533;0
5622281;96;1566;0
5633254;91;1511;0
5642194;88;1477;0
5652830;105;1666;0
5662177;108;1700;0
5672857;83;1422;0
5692996;88;1477;0
5712923;109;1711;0
5722277;108;1700;0
5733098;85;1444;0
5742300;83;1422;0
5752913;86;1455;0
5762269;85;1444;0
5773385;82;1411;0
5782322;85;1444;0
5803026;100;1611;0
5812283;97;1577;0
5832480;98;1588;0
5842994;95;1555;0
5852267;96;1566;0
5862953;104;1655;0
5883067;96;1566;0
5892301;97;1577;0
5902983;89;1488;0
5912333;88;1477;0
5932408;89;1488;0
5942528;95;1555;0
5952288;92;1522;0
5962948;85;1444;0
5972275;87;1466;0
5983109;99;1600;0
6002971;92;1522;0
6012275;91;1511;0
6023052;83;1422;0
6039033;84;1433;0
6042967;107;1688;0
6062946;104;1655;0
6072282;102;1633;0
6082980;90;1500;0
6092449;88;1477;0
6102962;94;1544;0
6112263;95;1555;0
6123258;86;1455;0
6143084;85;1444;0
6152288;84;1433;0
6162939;103;1644;0
6172262;102;1633;0
6182968;84;1433;0
6192415;83;1422;0
6202940;97;1577;0
6212256;99;1600;0
6222978;88;1477;0
6232307;89;1488;0
6243197;102;1633;0
6262945;84;1433;0
6272258;87;1466;0
6282933;102;1633;0
6302921;82;1411;0
6312265;83;1422;0
6322933;100;1611;0
6343069;94;1544;0
6352293;96;1566;0
6362955;97;1577;0
6372284;96;1566;0
6382898;97;1577;0
6392390;98;1588;0
6402945;81;1400;0
6412299;82;1411;0
6422950;97;1577;0
6432283;95;1555;0
6462973;99;1600;0
6482904;92;1522;0
6492372;91;1511;0
6502973;86;1455;0
6522962;92;1522;0
6532269;93;1533;0
6543090;88;1477;0
6552257;86;1455;0
6562970;97;1577;0
6623049;90;1500;0
6632285;92;1522;0
6643195;84;1433;0
6662947;96;1566;0
6682486;95;1555;0
6691993;96;1566;0
6743117;95;1555;0
6762962;90;1500;0
6772290;91;1511;0
6782978;84;1433;0
6803000;96;1566;0
6822968;94;1544;0
6832312;92;1522;0
6843225;94;1544;0
6851775;96;1566;0
6862813;90;1500;0
6872191;87;1466;0
6882871;84;1433;0
6892316;85;1444;0
6902870;84;1433;0
6962977;96;1566;0
6982966;88;1477;0
6992395;90;1500;0
7002968;85;1444;0
7012268;86;1455;0
7023059;96;1566;0
7052214;95;1555;0
7073099;84;1433;0
7082305;87;1466;0
7092963;94;1544;0
7102426;92;1522;0
7113018;96;1566;0
7132983;94;1544;0
7142277;91;1511;0
7153132;96;1566;0
7172961;95;1555;0
7192977;97;1577;0
7202462;98;1588;0
7222311;95;1555;0
7232957;85;1444;0
7242289;87;1466;0
7253996;97;1577;0
7262196;98;1588;0
7303108;84;1433;0
7322971;94;1544;0
7332293;96;1566;0
7343041;83;1422;0
7352446;82;1411;0
7362999;95;1555;0
7372308;97;1577;0
7382986;86;1455;0
7392295;85;1444;0
7403076;94;1544;0
7412290;95;1555;0
7423028;97;1577;0
7442958;82;1411;0
7462973;98;1588;0
7503122;84;1433;0
7512300;86;1455;0
7523003;90;1500;0
7532334;89;1488;0
7542971;81;1400;0
7562994;85;1444;0
7582967;100;1611;0
7603102;87;1466;0
7622991;83;1422;0
7631887;80;1388;0
7642974;83;1422;0
7652519;85;1444;0
7662939;100;1611;0
7682954;81;1400;0
7692288;82;1411;0
7703118;100;1611;0
7723009;87;1466;0
7732301;86;1455;0
7742955;88;1477;0
7762969;100;1611;0
7782962;80;1388;0
7792282;79;1377;0
7803102;94;1544;0
7812268;93;1533;0
7823022;80;1388;0
7832282;82;1411;0
7842986;80;1388;0
7852115;79;1377;0
7862986;96;1566;0
7872302;94;1544;0
7882965;92;1522;0
7892284;95;1555;0
7903130;83;1422;0
7912294;80;1388;0
7922957;99;1600;0
7931882;100;1611;0
7942977;94;1544;0
7952445;93;1533;0
7962947;95;1555;0
7972307;96;1566;0
7982975;100;1611;0
8003135;102;1633;0
8022945;79;1377;0
8042998;91;1511;0
8065234;90;1500;0
8072253;94;1544;0
8082196;96;1566;0
8093064;81;1400;0
8102208;83;1422;0
8112874;98;1588;0
8122195;96;1566;0
8132868;102;1633;0
8152951;81;1400;0
8162279;80;1388;0
8173042;103;1644;0
8193002;82;1411;0
8202300;81;1400;0
8212929;99;1600;0
8222331;100;1611;0
8232982;80;1388;0
8242283;78;1366;0
8252977;89;1488;0
8262290;90;1500;0
8273048;104;1655;0
8292965;90;1500;0
8302291;91;1511;0
8313001;85;1444;0
8322295;86;1455;0
8332946;103;1644;0
8342294;100;1611;0
8353023;89;1488;0
8362324;90;1500;0
8372995;79;1377;0
8382286;80;1388;0
8392985;94;1544;0
8402308;92;1522;0
8412942;85;1444;0
8422281;86;1455;0
8432998;78;1366;0
8452976;80;1388;0
8472767;86;1455;0
8482176;83;1422;0
8492864;87;1466;0
8502202;88;1477;0
8512837;98;1588;0
8522327;99;1600;0
8532889;90;1500;0
8542199;91;1511;0
8552806;87;1466;0
8562181;85;1444;0
8572998;102;1633;0
8582189;103;1644;0
8592810;100;1611;0
8622454;97;1577;0
8632983;77;1355;0
8642275;79;1377;0
8652943;88;1477;0
8662310;87;1466;0
8673267;98;1588;0
8692538;100;1611;0
8702307;99;1600;0
8712563;95;1555;0
8722429;97;1577;0
8732947;84;1433;0
8742278;83;1422;0
8752981;100;1611;0
8762281;99;1600;0
8773074;96;1566;0
8782284;95;1555;0
8792981;96;1566;0
8812994;83;1422;0
8832977;90;1500;0
8842303;93;1533;0
8852997;98;1588;0
8862290;95;1555;0
8873199;79;1377;0
8882177;78;1366;0
8892896;85;1444;0
8902182;88;1477;0
8912835;83;1422;0
8922339;80;1388;0
8932864;97;1577;0
8942183;98;1588;0
8952839;94;1544;0
8962186;95;1555;0
8982215;94;1544;0
8992851;92;1522;0
9002168;90;1500;0
9012865;96;1566;0
9032981;83;1422;0
9042346;84;1433;0
9053010;101;1622;0
9086486;85;1444;0
9092220;86;1455;0
9113112;85;1444;0
9122292;84;1433;0
9132977;105;1666;0
9142409;103;1644;0
9162279;104;1655;0
9172998;84;1433;0
9193089;103;1644;0
9212975;80;1388;0
9222310;81;1400;0
9232532;87;1466;0
