uptime;angle;pulse_us;done
5011037;90;1500;0
11065200;135;2000;0
11071856;132;1966;0
11138054;135;2000;0
11141892;134;1988;0
11182636;135;2000;0
11202608;113;1755;0
11211885;132;1966;0
11222648;89;1488;0
11231920;126;1900;0
11242785;135;2000;0
11262512;102;1633;0
11271813;130;1944;0
11283014;120;1833;0
11292095;129;1933;0
11342889;135;2000;0
11351794;134;1988;0
11412485;112;1744;0
11421817;130;1944;0
11432469;135;2000;0
11452525;69;1266;0
11461819;126;1900;0
11492696;135;2000;0
11502233;130;1944;0
11552592;75;1333;0
11561895;123;1866;0
11572616;135;2000;0
11581889;130;1944;0
11592790;135;2000;0
11601810;132;1966;0
11612888;99;1600;0
11621809;128;1922;0
11632613;135;2000;0
11642107;129;1933;0
11672645;86;1455;0
11681937;123;1866;0
11692769;135;2000;0
11701821;132;1966;0
11712916;121;1844;0
11721813;130;1944;0
11732648;135;2000;0
11742212;132;1966;0
11752611;65;1222;0
11761918;123;1866;0
11772612;134;1988;0
11781913;124;1877;0
11792776;135;2000;0
11801813;128;1922;0
11812498;73;1311;0
11822180;120;1833;0
11852489;135;2000;0
11861780;126;1900;0
11872499;135;2000;0
11881800;128;1922;0
11892686;74;1322;0
11901796;120;1833;0
11912600;131;1955;0
11922342;134;1988;0
11932583;135;2000;0
11942177;128;1922;0
11952647;72;1300;0
11961893;120;1833;0
11972627;109;1711;0
11981896;118;1811;0
11992784;108;1700;0
12001776;117;1800;0
12012488;135;2000;0
12021815;128;1922;0
12032876;84;1433;0
12041995;122;1855;0
12112481;100;1611;0
12121819;118;1811;0
12132909;108;1700;0
12168100;117;1800;0
12173559;135;2000;0
12181934;120;1833;0
12212491;135;2000;0
12222000;123;1866;0
12233045;112;1744;0
12241928;122;1855;0
12252662;78;1366;0
12261919;116;1788;0
12272801;135;2000;0
12281810;123;1866;0
12312503;47;1022;0
12321980;112;1744;0
12332473;135;2000;0
12342216;129;1933;0
12352487;135;2000;0
12361784;122;1855;0
12372767;68;1255;0
12381822;114;1766;0
12401895;135;2000;0
12411900;117;1800;0
12442279;71;1288;0
12451915;111;1733;0
12461910;135;2000;0
12472148;122;1855;0
12481913;45;1000;0
12491922;111;1733;0
12502609;135;2000;0
12511920;118;1811;0
12522777;97;1577;0
12531814;116;1788;0
12542889;83;1422;0
12551794;111;1733;0
12562625;100;1611;0
12572223;110;1722;0
12582587;132;1966;0
12591893;112;1744;0
12602636;135;2000;0
12611914;120;1833;0
12622808;56;1122;0
12631806;111;1733;0
12642487;135;2000;0
12652177;132;1966;0
12662506;45;1000;0
12671984;111;1733;0
12682532;100;1611;0
12691798;110;1722;0
12702527;135;2000;0
12711819;118;1811;0
12722784;45;1000;0
12731911;106;1677;0
12752283;135;2000;0
12761903;116;1788;0
12772205;82;1411;0
12781901;111;1733;0
12791913;135;2000;0
12801913;118;1811;0
12811920;95;1555;0
12822103;116;1788;0
12831912;135;2000;0
12841896;120;1833;0
12853138;45;1000;0
12861794;106;1677;0
12872753;135;2000;0
12881805;117;1800;0
12892609;95;1555;0
12901900;114;1766;0
12912634;125;1888;0
12922087;116;1788;0
12932602;49;1044;0
12941889;106;1677;0
12962292;119;1822;0
12972908;135;2000;0
12981794;116;1788;0
13002561;135;2000;0
13011909;118;1811;0
13022815;45;1000;0
13031813;106;1677;0
13042475;135;2000;0
13051812;112;1744;0
13062922;134;1988;0
13071979;116;1788;0
13082622;50;1055;0
13091914;106;1677;0
13102631;74;1322;0
13111886;102;1633;0
13122810;135;2000;0
13131809;114;1766;0
13142471;125;1888;0
13151785;116;1788;0
13162525;61;1177;0
13198642;112;1744;0
13203014;47;1022;0
13211963;105;1666;0
13222608;135;2000;0
13231917;114;1766;0
13242643;45;1000;0
13252100;104;1655;0
13262592;135;2000;0
13271924;110;1722;0
13282620;77;1355;0
13291916;105;1666;0
13303087;45;1000;0
16972198;135;2000;0
18911978;133;1977;0
18942499;135;2000;0
18971883;133;1977;0
18991894;135;2000;0
19041877;133;1977;0
19071910;135;2000;0
19101893;133;1977;0
19132300;135;2000;0
20202569;133;1977;0
20251902;135;2000;0
20381889;133;1977;0
20412759;135;2000;0
20611955;133;1977;0
20662694;135;2000;0
21262708;133;1977;0
21342627;135;2000;0
21371789;133;1977;0
21412081;135;2000;0
21422665;133;1977;0
21451903;135;2000;0
21492240;133;1977;0
21502521;135;2000;0
21632485;133;1977;0
21661803;135;2000;0
21721807;133;1977;0
21802207;135;2000;0
21812469;133;1977;0
21932582;135;2000;0
21981777;133;1977;0
21992495;135;2000;0
22061888;133;1977;0
22181794;129;1933;0
22212475;133;1977;0
22281809;135;2000;0
22332474;133;1977;0
22481782;135;2000;0
22492483;133;1977;0
22552480;135;2000;0
22621889;133;1977;0
22702617;135;2000;0
22771993;133;1977;0
23001798;135;2000;0
23041789;133;1977;0
23092617;135;2000;0
23361798;133;1977;0
23372713;135;2000;0
23412586;133;1977;0
23461900;135;2000;0
23472781;133;1977;0
23512522;120;1833;0
23521975;133;1977;0
23752625;129;1933;0
23792519;133;1977;0
23861914;135;2000;0
23872957;133;1977;0
23951819;129;1933;0
23962485;133;1977;0
24022716;129;1933;0
24042599;133;1977;0
24072187;135;2000;0
24111890;133;1977;0
24142894;102;1633;0
24151797;135;2000;0
24182615;117;1800;0
24191913;133;1977;0
24262605;75;1333;0
24272195;133;1977;0
24322843;66;1233;0
24331812;133;1977;0
24372082;129;1933;0
24382613;133;1977;0
24411872;129;1933;0
24442465;133;1977;0
24482479;129;1933;0
24502492;133;1977;0
24522662;80;1388;0
24531780;133;1977;0
24611877;135;2000;0
24622838;133;1977;0
24722211;135;2000;0
24742601;134;1988;0
24751895;135;2000;0
24802639;132;1966;0
24811924;135;2000;0
24862480;133;1977;0
24922778;105;1666;0
24931796;133;1977;0
24941914;129;1933;0
24972477;133;1977;0
25122204;129;1933;0
25131930;133;1977;0
25192527;129;1933;0
25261910;133;1977;0
25273229;129;1933;0
25322076;125;1888;0
25332476;129;1933;0
25352532;92;1522;0
25361783;129;1933;0
25391902;133;1977;0
25401911;129;1933;0
25422104;133;1977;0
25441893;129;1933;0
25481906;133;1977;0
25581928;135;2000;0
25601924;124;1877;0
25611905;133;1977;0
25702301;129;1933;0
25775584;133;1977;0
25781963;129;1933;0
25803084;133;1977;0
25851920;129;1933;0
25902488;125;1888;0
25912225;133;1977;0
25931985;129;1933;0
25946180;133;1977;0
25972780;129;1933;0
26071889;133;1977;0
26111802;135;2000;0
26142588;133;1977;0
26171907;135;2000;0
26182794;133;1977;0
26222470;95;1555;0
26232418;133;1977;0
26242516;129;1933;0
26262589;67;1244;0
26271897;129;1933;0
26291793;133;1977;0
26342917;47;1022;0
26351823;133;1977;0
26422482;129;1933;0
26452206;133;1977;0
26462522;125;1888;0
26471799;129;1933;0
26501895;133;1977;0
26511885;129;1933;0
26561908;133;1977;0
26601917;129;1933;0
26611938;51;1066;0
26621937;129;1933;0
26721888;133;1977;0
26761882;129;1933;0
26882034;133;1977;0
26892784;61;1177;0
26901803;133;1977;0
26952526;68;1255;0
26961806;133;1977;0
27002656;56;1122;0
27011905;129;1933;0
27082921;54;1100;0
27091802;133;1977;0
27102650;129;1933;0
27151790;125;1888;0
27162495;129;1933;0
27222856;133;1977;0
27242491;122;1855;0
27251809;129;1933;0
27322675;47;1022;0
27331786;133;1977;0
27362632;129;1933;0
27382652;78;1366;0
27392328;133;1977;0
27422792;58;1144;0
27431808;129;1933;0
27442549;104;1655;0
27451796;129;1933;0
27482655;51;1066;0
27491891;129;1933;0
27511900;125;1888;0
27542502;52;1077;0
27551794;129;1933;0
27562493;101;1622;0
27571985;129;1933;0
27622678;51;1066;0
27631797;129;1933;0
27651913;133;1977;0
27662647;129;1933;0
27691914;133;1977;0
27702592;47;1022;0
27712320;133;1977;0
27742483;129;1933;0
27782590;70;1277;0
27791915;125;1888;0
27802614;129;1933;0
27862498;51;1066;0
27967950;129;1933;0
28012475;133;1977;0
28032579;129;1933;0
28073218;113;1755;0
28081801;133;1977;0
28092510;129;1933;0
28112574;51;1066;0
28121964;129;1933;0
28152592;51;1066;0
28161878;129;1933;0
28222765;90;1500;0
28231821;129;1933;0
28251794;133;1977;0
28262535;90;1500;0
28271964;133;1977;0
28282987;129;1933;0
28342516;51;1066;0
28351789;129;1933;0
28402664;86;1455;0
28411911;125;1888;0
28422839;129;1933;0
28442490;95;1555;0
28451822;129;1933;0
28491947;125;1888;0
28542461;129;1933;0
28592180;125;1888;0
28602504;66;1233;0
28611794;129;1933;0
28642509;51;1066;0
28651791;129;1933;0
28692141;51;1066;0
28711867;47;1022;0
28722832;129;1933;0
28731768;51;1066;0
28742469;129;1933;0
28751770;58;1144;0
28762514;51;1066;0
28782595;101;1622;0
28792164;54;1100;0
28802644;55;1111;0
28842556;125;1888;0
28851871;55;1111;0
28862604;125;1888;0
28872052;52;1077;0
28882661;51;1066;0
28902896;129;1933;0
28942564;126;1900;0
28951864;129;1933;0
28962619;118;1811;0
29069673;51;1066;0
29074635;129;1933;0
29081841;51;1066;0
29122773;129;1933;0
29131783;62;1188;0
29142545;51;1066;0
29151766;50;1055;0
29162498;47;1022;0
29191860;51;1066;0
29202608;133;1977;0
29211867;66;1233;0
29222814;47;1022;0
29231771;51;1066;0
29242548;129;1933;0
29251753;47;1022;0
29262505;51;1066;0
29282622;129;1933;0
29291877;60;1166;0
29302577;51;1066;0
29322841;129;1933;0
29331761;51;1066;0
29342479;129;1933;0
29351784;57;1133;0
29362490;129;1933;0
29371980;69;1266;0
29382886;51;1066;0
29391894;63;1200;0
29402658;55;1111;0
29442499;125;1888;0
29451752;55;1111;0
29462583;125;1888;0
29472195;68;1255;0
29482919;51;1066;0
29491897;60;1166;0
29502590;51;1066;0
29542590;129;1933;0
29551871;63;1200;0
29582599;51;1066;0
29592164;60;1166;0
29602613;103;1644;0
29611871;66;1233;0
29642506;51;1066;0
29651770;58;1144;0
29662585;51;1066;0
29682608;129;1933;0
29691867;75;1333;0
29702882;47;1022;0
29711880;54;1100;0
29722824;47;1022;0
29742573;133;1977;0
29751870;74;1322;0
29762613;47;1022;0
29791859;51;1066;0
29802918;133;1977;0
29811875;74;1322;0
29822862;63;1200;0
29831785;72;1300;0
29842496;47;1022;0
29862623;133;1977;0
29872197;76;1344;0
29882633;65;1222;0
29891890;75;1333;0
29902905;47;1022;0
29931767;51;1066;0
29942546;129;1933;0
29951773;64;1211;0
29962626;51;1066;0
30002570;118;1811;0
30012166;52;1077;0
30022846;133;1977;0
30031779;64;1211;0
30042509;108;1700;0
30051776;70;1277;0
