uptime;temp;mem_free;load
5029196;33;32612224;0
6036270;32;32427808;1
7046688;32;32082576;0
8062085;32;31758464;0
9074924;32;31445824;47
10092791;32;31138640;0
11123549;32;30777520;0
12153806;32;30422096;0
13184135;32;30035984;6
14214720;32;29577408;11
15245102;32;29130608;0
16296473;32;28630992;0
17347393;32;28227824;42
18397649;32;27823856;42
19447913;32;27446880;2
20498003;32;27047744;42
21548948;31;26642384;41
22599621;32;26239280;0
23651622;32;25832544;0
24710376;32;25418144;45
25763373;32;25004368;2
26862157;32;24664768;0
27955691;32;24242544;6
29053196;32;23826080;6
30153053;32;23399264;0
31253338;32;22965632;8
32354468;32;22533904;0
33455409;32;22103536;12
34554719;32;21677056;0
35656006;32;21251200;0
36756297;32;20823984;0
37858525;32;20391824;0
38958432;32;19976096;5
40058357;32;19553264;40
41158167;32;19127360;45
42260324;32;18719504;43
43360671;32;18294528;0
44462150;32;17883984;0
45563854;32;17483344;6
46669725;32;17079856;0
47762950;32;32439056;0
