uptime;angle;pulse_us;done
5011589;90;1500;0
5701264;93;1533;0
5721299;99;1600;0
5731421;98;1588;0
5741289;84;1433;0
5751254;83;1422;0
5761285;85;1444;0
5782032;76;1344;0
5791144;75;1333;0
5811251;73;1311;0
5821386;74;1322;0
5831289;80;1388;0
5841261;78;1366;0
5851264;79;1377;0
5861281;82;1411;0
5871306;86;1455;0
5892159;85;1444;0
5901177;83;1422;0
5921255;71;1288;0
5931249;74;1322;0
5941407;80;1388;0
5951255;77;1355;0
5961279;94;1544;0
5971252;96;1566;0
5981279;92;1522;0
5991409;94;1544;0
6001293;101;1622;0
6011254;99;1600;0
6021428;93;1533;0
6037784;95;1555;0
6041203;83;1422;0
6051269;78;1366;0
6061888;98;1588;0
6091303;94;1544;0
6101158;97;1577;0
6111149;99;1600;0
6121148;97;1577;0
6131166;77;1355;0
6141288;76;1344;0
6151173;88;1477;0
6172002;90;1500;0
6201156;95;1555;0
6211149;97;1577;0
6221406;100;1611;0
6231170;97;1577;0
6241341;74;1322;0
6251282;76;1344;0
6261271;82;1411;0
6281889;99;1600;0
6291314;96;1566;0
6311266;75;1333;0
6331246;79;1377;0
6341413;82;1411;0
6351316;84;1433;0
6371972;83;1422;0
6401158;91;1511;0
6421365;86;1455;0
6431257;85;1444;0
6451278;84;1433;0
6461274;80;1388;0
6471248;83;1422;0
6481284;85;1444;0
6491404;83;1422;0
6501266;89;1488;0
6511242;88;1477;0
6521299;91;1511;0
6531263;90;1500;0
6541448;82;1411;0
6551267;84;1433;0
6561284;94;1544;0
6571242;96;1566;0
6581281;89;1488;0
6591405;86;1455;0
6601313;87;1466;0
6611270;90;1500;0
6621432;97;1577;0
6631288;95;1555;0
6641437;88;1477;0
6651269;86;1455;0
6661321;83;1422;0
6671292;87;1466;0
6681285;99;1600;0
6701325;93;1533;0
6711292;92;1522;0
6721294;86;1455;0
6731288;85;1444;0
6741438;98;1588;0
6751303;99;1600;0
6761287;97;1577;0
6771275;96;1566;0
6781296;83;1422;0
6801942;87;1466;0
6811198;86;1455;0
6831168;83;1422;0
6851166;89;1488;0
6861171;91;1511;0
6871182;84;1433;0
6881166;83;1422;0
6911999;90;1500;0
6921162;92;1522;0
6941411;88;1477;0
6951289;86;1455;0
6961287;87;1466;0
6971275;88;1477;0
6981281;89;1488;0
6991428;91;1511;0
7001290;84;1433;0
7051521;87;1466;0
7061295;92;1522;0
7072044;84;1433;0
7081166;85;1444;0
7101434;84;1433;0
7121277;96;1566;0
7141272;84;1433;0
7211183;96;1566;0
7221200;95;1555;0
7241284;96;1566;0
7251417;84;1433;0
7261299;85;1444;0
7271297;95;1555;0
7292008;85;1444;0
7321173;86;1455;0
7331178;89;1488;0
7341205;95;1555;0
7391369;93;1533;0
7401484;92;1522;0
7411296;85;1444;0
7432116;95;1555;0
7461181;94;1544;0
7471195;92;1522;0
7481196;95;1555;0
7531176;85;1444;0
7571298;91;1511;0
7581304;93;1533;0
7611974;95;1555;0
7641183;85;1444;0
7661178;95;1555;0
7681909;88;1477;0
7711173;85;1444;0
7731260;94;1544;0
7751272;95;1555;0
7771255;85;1444;0
7791325;95;1555;0
7841193;85;1444;0
7861317;86;1455;0
7871167;85;1444;0
7901885;89;1488;0
7911334;92;1522;0
7931307;85;1444;0
7951255;95;1555;0
7961414;94;1544;0
7971284;95;1555;0
7992002;85;1444;0
8041305;95;1555;0
8071294;93;1533;0
8081290;91;1511;0
8092035;95;1555;0
8161900;94;1544;0
8171303;95;1555;0
8191164;88;1477;0
8201174;86;1455;0
8211173;93;1533;0
8232114;85;1444;0
8261199;94;1544;0
8271312;95;1555;0
8281188;93;1533;0
8291182;92;1522;0
8301169;85;1444;0
8351168;94;1544;0
8371302;95;1555;0
8391271;85;1444;0
8431411;87;1466;0
8441283;90;1500;0
8451291;95;1555;0
8461262;94;1544;0
8471305;91;1511;0
8481434;94;1544;0
8491264;85;1444;0
8512002;95;1555;0
8541155;85;1444;0
8551157;87;1466;0
8561191;92;1522;0
8571170;91;1511;0
8591159;92;1522;0
8601195;85;1444;0
8621185;95;1555;0
8642020;85;1444;0
8691187;92;1522;0
8701170;91;1511;0
8711183;85;1444;0
8731341;88;1477;0
8741178;87;1466;0
8751177;95;1555;0
8772030;90;1500;0
8781320;91;1511;0
8801275;85;1444;0
8841401;87;1466;0
8851280;86;1455;0
8861285;89;1488;0
8871255;90;1500;0
8881449;85;1444;0
8901891;93;1533;0
8911158;92;1522;0
8931425;85;1444;0
8941284;86;1455;0
8951288;85;1444;0
8972027;87;1466;0
8981320;85;1444;0
9021161;92;1522;0
9031302;95;1555;0
9041294;85;1444;0
9061887;91;1511;0
9091361;85;1444;0
9111282;88;1477;0
9132133;85;1444;0
9181159;95;1555;0
9201300;85;1444;0
9211276;86;1455;0
9221312;95;1555;0
9311173;85;1444;0
9351304;95;1555;0
9371998;92;1522;0
9381169;95;1555;0
9401171;85;1444;0
9421275;91;1511;0
9431254;94;1544;0
9441453;85;1444;0
9491298;89;1488;0
9501211;88;1477;0
9511194;92;1522;0
9521170;95;1555;0
9531204;85;1444;0
9541342;86;1455;0
9551210;85;1444;0
9601167;95;1555;0
9642045;93;1533;0
9651213;92;1522;0
9671301;85;1444;0
9691260;90;1500;0
9701306;89;1488;0
9711284;95;1555;0
9721268;93;1533;0
9731299;91;1511;0
9741265;92;1522;0
9751311;95;1555;0
9772018;86;1455;0
9781167;87;1466;0
9801422;95;1555;0
9821281;85;1444;0
9861277;91;1511;0
9871305;90;1500;0
9881294;95;1555;0
9931187;85;1444;0
9951295;94;1544;0
9961284;95;1555;0
9971305;85;1444;0
9992010;86;1455;0
10001168;88;1477;0
10021274;95;1555;0
10031285;96;1566;0
10041294;95;1555;0
10051378;96;1566;0
10061319;84;1433;0
10071273;85;1444;0
10094692;95;1555;0
10121921;85;1444;0
10141164;84;1433;0
10151201;95;1555;0
10181176;96;1566;0
10221293;88;1477;0
10231309;89;1488;0
10251388;90;1500;0
10261445;96;1566;0
10281316;90;1500;0
10291287;92;1522;0
10301275;84;1433;0
10371178;95;1555;0
10381183;94;1544;0
10391200;83;1422;0
10412151;89;1488;0
10441186;97;1577;0
10471271;96;1566;0
10481301;84;1433;0
10501918;86;1455;0
10511185;87;1466;0
10531272;83;1422;0
10541266;82;1411;0
10551279;88;1477;0
10561258;85;1444;0
10571293;83;1422;0
10581269;84;1433;0
10591312;83;1422;0
10671192;84;1433;0
10681178;90;1500;0
10691181;87;1466;0
10701204;90;1500;0
10722046;97;1577;0
10792123;82;1411;0
10811155;81;1400;0
10821345;99;1600;0
10841175;89;1488;0
10851290;93;1533;0
10861203;90;1500;0
10881932;87;1466;0
10891192;84;1433;0
10911294;81;1400;0
10921439;83;1422;0
10931298;99;1600;0
10952004;89;1488;0
10961174;92;1522;0
10981191;100;1611;0
11022033;80;1388;0
11051284;96;1566;0
11071274;99;1600;0
11091289;84;1433;0
11126172;87;1466;0
11131478;99;1600;0
11181319;92;1522;0
11191200;93;1533;0
11201206;89;1488;0
11211187;87;1466;0
11221191;80;1388;0
11231320;81;1400;0
11241191;88;1477;0
11251306;87;1466;0
11261190;100;1611;0
11271176;99;1600;0
11281352;79;1377;0
11291210;78;1366;0
11301196;81;1400;0
11321903;95;1555;0
11351166;97;1577;0
11361182;96;1566;0
11371193;78;1366;0
11391191;94;1544;0
11401189;92;1522;0
11421172;93;1533;0
11431342;94;1544;0
11441180;92;1522;0
11451322;98;1588;0
11461179;101;1622;0
11471209;90;1500;0
11492035;82;1411;0
11521184;80;1388;0
11531315;79;1377;0
11541212;81;1400;0
11551172;79;1377;0
11561180;95;1555;0
11571206;98;1588;0
11581355;91;1511;0
11591209;92;1522;0
11601180;80;1388;0
11611189;77;1355;0
11621196;99;1600;0
11631319;103;1644;0
11641191;78;1366;0
11661918;91;1511;0
11671205;90;1500;0
11691180;91;1511;0
11701178;89;1488;0
