uptime;angle;pulse_us;done
5012948;90;1500;0
5702404;93;1533;0
5721797;97;1577;0
5731871;98;1588;0
5741767;82;1411;0
5751687;83;1422;0
5761768;85;1444;0
5782499;74;1322;0
5791577;75;1333;0
5821818;74;1322;0
5831764;76;1344;0
5841702;78;1366;0
5851721;85;1444;0
5862971;82;1411;0
5871768;86;1455;0
5892639;81;1400;0
5901630;83;1422;0
5921732;77;1355;0
5931679;74;1322;0
5951692;77;1355;0
5961746;98;1588;0
5971688;96;1566;0
5991851;94;1544;0
6001759;97;1577;0
6011676;99;1600;0
6021882;97;1577;0
6038207;95;1555;0
6041695;73;1311;0
6051710;78;1366;0
6062337;98;1588;0
6091844;100;1611;0
6101612;97;1577;0
6111604;95;1555;0
6121579;97;1577;0
6131642;75;1333;0
6141726;76;1344;0
6151638;88;1477;0
6172476;90;1500;0
6201663;99;1600;0
6211583;97;1577;0
6222120;94;1544;0
6231630;97;1577;0
6241828;79;1377;0
6251715;76;1344;0
6261733;82;1411;0
6282363;93;1533;0
6291764;96;1566;0
6311734;75;1333;0
6331695;85;1444;0
6341862;82;1411;0
6351787;84;1433;0
6372446;83;1422;0
6401671;91;1511;0
6421833;84;1433;0
6431685;85;1444;0
6441443;83;1422;0
6451728;84;1433;0
6461748;86;1455;0
6471684;83;1422;0
6481752;81;1400;0
6491844;83;1422;0
6501724;87;1466;0
6511679;88;1477;0
6521757;89;1488;0
6531715;90;1500;0
6541932;86;1455;0
6551699;84;1433;0
6561751;98;1588;0
6571698;96;1566;0
6581747;83;1422;0
6591848;86;1455;0
6601775;93;1533;0
6611702;90;1500;0
6621918;93;1533;0
6631729;95;1555;0
6641903;84;1433;0
6651702;86;1455;0
6661774;91;1511;0
6671744;87;1466;0
6681753;98;1588;0
6691441;99;1600;0
6701782;91;1511;0
6711737;92;1522;0
6721779;84;1433;0
6731734;85;1444;0
6741945;98;1588;0
6751741;99;1600;0
6761737;95;1555;0
6771712;96;1566;0
6781757;83;1422;0
6802448;85;1444;0
6811642;86;1455;0
6831616;83;1422;0
6851660;93;1533;0
6861608;91;1511;0
6871629;83;1422;0
6912508;94;1544;0
6921587;92;1522;0
6941884;84;1433;0
6951728;86;1455;0
6961751;89;1488;0
6971701;88;1477;0
6981714;93;1533;0
6991881;91;1511;0
7001763;84;1433;0
7052000;96;1566;0
7061731;92;1522;0
7072497;84;1433;0
7081589;85;1444;0
7101943;84;1433;0
7121767;96;1566;0
7141743;84;1433;0
7211730;96;1566;0
7221635;95;1555;0
7241768;96;1566;0
7251881;84;1433;0
7261746;85;1444;0
7271743;95;1555;0
7292481;85;1444;0
7321675;92;1522;0
7331618;89;1488;0
7341668;95;1555;0
7392382;91;1511;0
7401952;92;1522;0
7411771;85;1444;0
7432599;95;1555;0
7461710;90;1500;0
7471659;92;1522;0
7481667;95;1555;0
7531739;85;1444;0
7571792;95;1555;0
7581756;93;1533;0
7612484;95;1555;0
7641680;86;1455;0
7651206;85;1444;0
7661634;95;1555;0
7682372;88;1477;0
7711675;85;1444;0
7731733;94;1544;0
7751744;95;1555;0
7771744;87;1466;0
7781285;85;1444;0
7791776;95;1555;0
7841753;86;1455;0
7851212;85;1444;0
7902362;95;1555;0
7911777;92;1522;0
7931824;85;1444;0
7951708;93;1533;0
7961879;94;1544;0
7971772;95;1555;0
7992474;86;1455;0
8001201;85;1444;0
8041838;95;1555;0
8071774;89;1488;0
8081726;91;1511;0
8092503;95;1555;0
8121342;94;1544;0
8131208;95;1555;0
8191660;85;1444;0
8201633;86;1455;0
8211630;93;1533;0
8232584;85;1444;0
8261723;95;1555;0
8281643;91;1511;0
8291619;92;1522;0
8301644;85;1444;0
8351651;94;1544;0
8371813;95;1555;0
8391760;85;1444;0
8431902;93;1533;0
8441728;90;1500;0
8461699;94;1544;0
8471790;95;1555;0
8481874;94;1544;0
8491720;85;1444;0
8512484;94;1544;0
