uptime;angle;pulse_us;done
5010313;90;1500;0
12813029;133;1977;0
12821269;129;1933;0
12851219;135;2000;0
12861226;134;1988;0
12871266;122;1855;0
12881232;132;1966;0
12891267;109;1711;0
12901338;129;1933;0
12921632;135;2000;0
12931220;130;1944;0
12961333;119;1822;0
12971335;129;1933;0
12981354;106;1677;0
12991347;126;1900;0
13001345;135;2000;0
13011325;132;1966;0
13051224;135;2000;0
13061214;134;1988;0
13071420;88;1477;0
13081239;128;1922;0
13091248;135;2000;0
13101311;129;1933;0
13112250;135;2000;0
13121416;130;1944;0
13131631;135;2000;0
13141263;98;1588;0
13151225;128;1922;0
13186713;135;2000;0
13192487;82;1411;0
13201383;130;1944;0
13212211;135;2000;0
13221255;132;1966;0
13241935;76;1344;0
13251365;124;1877;0
13261361;135;2000;0
13271337;126;1900;0
13302021;104;1655;0
13311224;123;1866;0
13331316;135;2000;0
13351365;63;1200;0
13361305;124;1877;0
13371322;135;2000;0
13381315;130;1944;0
13391533;119;1822;0
13401317;129;1933;0
13411344;135;2000;0
13421337;130;1944;0
13431321;135;2000;0
13441523;132;1966;0
13451734;62;1188;0
13461354;123;1866;0
13471342;135;2000;0
13481333;129;1933;0
13491570;118;1811;0
13501350;128;1922;0
13511323;135;2000;0
13521338;129;1933;0
13552584;85;1444;0
13561229;123;1866;0
13581202;135;2000;0
13591433;130;1944;0
13601218;60;1166;0
13611206;122;1855;0
13621265;110;1722;0
13631227;120;1833;0
13641450;135;2000;0
13651321;129;1933;0
13662500;118;1811;0
13671242;128;1922;0
13711243;105;1666;0
13721243;124;1877;0
13731232;135;2000;0
13741431;126;1900;0
13751235;114;1766;0
13761327;124;1877;0
13771778;135;2000;0
13781345;129;1933;0
13791568;50;1055;0
13801334;118;1811;0
13811355;135;2000;0
13821325;123;1866;0
13831338;112;1744;0
13841549;122;1855;0
13851360;133;1977;0
13861436;123;1866;0
13872577;101;1622;0
13881231;120;1833;0
13901209;132;1966;0
13911228;122;1855;0
13921243;135;2000;0
13931219;126;1900;0
13962042;83;1422;0
13971230;120;1833;0
13991408;135;2000;0
14001237;123;1866;0
14011231;112;1744;0
14021222;122;1855;0
14031263;76;1344;0
14041429;116;1788;0
14051221;135;2000;0
14061432;118;1811;0
14071335;130;1944;0
14081683;132;1966;0
14091549;135;2000;0
14101335;126;1900;0
14111330;68;1255;0
14121326;118;1811;0
14131336;96;1566;0
14141537;116;1788;0
14172156;94;1544;0
14181230;112;1744;0
14221920;135;2000;0
14231360;114;1766;0
14242080;103;1644;0
14251234;112;1744;0
14271404;135;2000;0
14281225;117;1800;0
14291241;71;1288;0
14301243;111;1733;0
14311289;122;1855;0
14321839;124;1877;0
14332205;135;2000;0
14341219;117;1800;0
14361205;59;1155;0
14371406;110;1722;0
14381227;135;2000;0
14391241;120;1833;0
14422649;131;1955;0
14431250;122;1855;0
14451216;45;1000;0
14461325;108;1700;0
14471233;135;2000;0
14481214;114;1766;0
14491254;135;2000;0
14501248;117;1800;0
14511226;45;1000;0
14521221;106;1677;0
14531641;129;1933;0
14541259;110;1722;0
