@20000101_000003_812_accel_adxl375.csv@uptime;ax;ay;az
@20000101_000003_812_accel_adxl375.csv@3556618;0.0;0.0;3.721
@20000101_000003_812_accel_adxl375.csv@3605868;0.0;0.0;3.676
@20000101_000003_812_accel_adxl375.csv@3655469;0.0;0.0;3.704
@20000101_000003_812_accel_adxl375.csv@3736683;0.0;0.0;4.09
@20000101_000003_812_accel_adxl375.csv@3786023;0.0;0.0;3.852
@20000101_000003_812_accel_adxl375.csv@3834630;0.0;0.0;3.354
@20000101_000003_812_accel_adxl375.csv@3886025;0.0;0.0;4.134
@20000101_000003_812_accel_adxl375.csv@3936129;0.0;0.0;4.139
@20000101_000003_812_accel_adxl375.csv@3984640;0.0;0.0;3.716
@20000101_000003_812_accel_adxl375.csv@4036176;0.0;0.0;3.987
@20000101_000003_812_accel_adxl375.csv@4084619;0.0;0.0;4.178
@20000101_000003_812_accel_adxl375.csv@4137293;0.0;0.0;3.332
@20000101_000003_812_accel_adxl375.csv@4186251;0.0;0.0;3.516
@20000101_000003_812_accel_adxl375.csv@4236289;0.0;0.0;3.544
@20000101_000003_812_accel_adxl375.csv@4284702;0.0;0.0;3.781
@20000101_000003_812_accel_adxl375.csv@4336457;0.0;0.0;3.696
@20000101_000003_812_accel_adxl375.csv@4385629;0.0;0.0;4.061
@20000101_000003_812_accel_adxl375.csv@4435713;0.0;0.0;3.863
@20000101_000003_812_accel_adxl375.csv@4486932;0.0;0.0;3.426
@20000101_000003_812_accel_adxl375.csv@4541664;0.0;0.0;3.59
@20000101_000003_812_accel_adxl375.csv@4586202;0.0;0.0;3.486
@20000101_000003_812_accel_adxl375.csv@4635493;0.0;0.0;3.533
@20000101_000003_812_accel_adxl375.csv@4686205;0.0;0.0;4.141
@20000101_000003_812_accel_adxl375.csv@4735495;0.0;0.0;3.407
@20000101_000003_812_accel_adxl375.csv@4786204;0.0;0.0;3.28
@20000101_000003_812_accel_adxl375.csv@4835519;0.0;0.0;3.956
@20000101_000003_812_accel_adxl375.csv@4886166;0.0;0.0;3.211
@20000101_000003_812_accel_adxl375.csv@4935481;0.0;0.0;3.521
@20000101_000003_812_accel_adxl375.csv@4986170;0.0;0.0;3.738
@20000101_000003_812_accel_adxl375.csv@5036301;0.0;0.0;3.472
@20000101_000003_812_accel_adxl375.csv@5085485;0.0;0.0;3.768
@20000101_000003_812_accel_adxl375.csv@5136316;0.0;0.0;3.542
@20000101_000003_812_accel_adxl375.csv@5186232;0.0;0.0;3.087
@20000101_000003_812_accel_adxl375.csv@5236310;0.0;0.0;3.835
@20000101_000003_812_accel_adxl375.csv@5286209;0.0;0.0;3.348
@20000101_000003_812_accel_adxl375.csv@5336331;0.0;0.0;-0.087
@20000101_000003_812_accel_adxl375.csv@5385487;0.0;0.0;0.06
@20000101_000003_812_accel_adxl375.csv@5436326;0.0;0.0;-0.091
@20000101_000003_812_accel_adxl375.csv@5494538;0.0;0.0;0.04
@20000101_000003_812_accel_adxl375.csv@5557199;0.0;0.0;0.008
@20000101_000003_812_accel_adxl375.csv@5605485;0.0;0.0;0.001
@20000101_000003_812_accel_adxl375.csv@5656363;0.0;0.0;0.063
@20000101_000003_812_accel_adxl375.csv@5706203;0.0;0.0;0.019
@20000101_000003_812_accel_adxl375.csv@5755502;0.0;0.0;0.049
@20000101_000003_812_accel_adxl375.csv@5806202;0.0;0.0;-0.054
@20000101_000003_812_accel_adxl375.csv@5855453;0.0;0.0;0.023
@20000101_000003_812_accel_adxl375.csv@5906261;0.0;0.0;-0.002
@20000101_000003_812_accel_adxl375.csv@5955486;0.0;0.0;0.001
@20000101_000003_812_accel_adxl375.csv@6006251;0.0;0.0;0.097
