@20000101_000003_366_accel_adxl375.csv@uptime;ax;ay;az
@20000101_000003_366_accel_adxl375.csv@3615632;0.0;0.0;5.745
@20000101_000003_366_accel_adxl375.csv@3674532;0.0;0.0;2.679
@20000101_000003_366_accel_adxl375.csv@3734537;0.0;0.0;2.826
@20000101_000003_366_accel_adxl375.csv@3794546;0.0;0.0;2.744
@20000101_000003_366_accel_adxl375.csv@3854537;0.0;0.0;2.061
@20000101_000003_366_accel_adxl375.csv@3914533;0.0;0.0;3.518
@20000101_000003_366_accel_adxl375.csv@3974529;0.0;0.0;2.157
@20000101_000003_366_accel_adxl375.csv@4034532;0.0;0.0;3.724
@20000101_000003_366_accel_adxl375.csv@4094547;0.0;0.0;2.567
@20000101_000003_366_accel_adxl375.csv@4154531;0.0;0.0;3.905
@20000101_000003_366_accel_adxl375.csv@4214513;0.0;0.0;1.504
@20000101_000003_366_accel_adxl375.csv@4274503;0.0;0.0;5.351
@20000101_000003_366_accel_adxl375.csv@4334502;0.0;0.0;2.926
@20000101_000003_366_accel_adxl375.csv@4394638;0.0;0.0;4.521
@20000101_000003_366_accel_adxl375.csv@4454506;0.0;0.0;5.178
@20000101_000003_366_accel_adxl375.csv@4514508;0.0;0.0;2.612
@20000101_000003_366_accel_adxl375.csv@4564656;0.0;0.0;3.721
@20000101_000003_366_accel_adxl375.csv@4614866;0.0;0.0;2.755
@20000101_000003_366_accel_adxl375.csv@4664666;0.0;0.0;2.038
@20000101_000003_366_accel_adxl375.csv@4724645;0.0;0.0;3.843
@20000101_000003_366_accel_adxl375.csv@4774753;0.0;0.0;1.806
@20000101_000003_366_accel_adxl375.csv@4824648;0.0;0.0;1.856
@20000101_000003_366_accel_adxl375.csv@4874777;0.0;0.0;2.483
@20000101_000003_366_accel_adxl375.csv@4924657;0.0;0.0;5.149
@20000101_000003_366_accel_adxl375.csv@4974754;0.0;0.0;1.797
@20000101_000003_366_accel_adxl375.csv@5034538;0.0;0.0;3.541
@20000101_000003_366_accel_adxl375.csv@5084673;0.0;0.0;3.352
@20000101_000003_366_accel_adxl375.csv@5144633;0.0;0.0;5.302
@20000101_000003_366_accel_adxl375.csv@5200453;0.0;0.0;3.981
@20000101_000003_366_accel_adxl375.csv@5246418;0.0;0.0;3.422
@20000101_000003_366_accel_adxl375.csv@5294932;0.0;0.0;2.929
@20000101_000003_366_accel_adxl375.csv@5344553;0.0;0.0;4.84
@20000101_000003_366_accel_adxl375.csv@5395548;0.0;0.0;-0.001
@20000101_000003_366_accel_adxl375.csv@5454612;0.0;0.0;0.046
@20000101_000003_366_accel_adxl375.csv@5514561;0.0;0.0;0.007
@20000101_000003_366_accel_adxl375.csv@5574600;0.0;0.0;-0.356
@20000101_000003_366_accel_adxl375.csv@5634690;0.0;0.0;0.42
@20000101_000003_366_accel_adxl375.csv@5684570;0.0;0.0;0.065
@20000101_000003_366_accel_adxl375.csv@5734599;0.0;0.0;0.014
@20000101_000003_366_accel_adxl375.csv@5784563;0.0;0.0;0.045
@20000101_000003_366_accel_adxl375.csv@5834650;0.0;0.0;-0.142
@20000101_000003_366_accel_adxl375.csv@5894568;0.0;0.0;-0.088
@20000101_000003_366_accel_adxl375.csv@5954585;0.0;0.0;-0.413
@20000101_000003_366_accel_adxl375.csv@6004588;0.0;0.0;0.178
@20000101_000003_366_accel_adxl375.csv@6054581;0.0;0.0;0.479
@20000101_000003_366_accel_adxl375.csv@6104572;0.0;0.0;-0.041
@20000101_000003_366_accel_adxl375.csv@6154611;0.0;0.0;0.356
@20000101_000003_366_accel_adxl375.csv@6204565;0.0;0.0;-0.197
@20000101_000003_366_accel_adxl375.csv@6254580;0.0;0.0;0.077
@20000101_000003_366_accel_adxl375.csv@6314586;0.0;0.0;0.217
@20000101_000003_366_accel_adxl375.csv@6366362;0.0;0.0;0.336
@20000101_000003_366_accel_adxl375.csv@6416511;0.0;0.0;-0.415
@20000101_000003_366_accel_adxl375.csv@6465460;0.0;0.0;0.366
@20000101_000003_366_accel_adxl375.csv@6516417;0.0;0.0;-0.429
@20000101_000003_366_accel_adxl375.csv@6574566;0.0;0.0;0.027
@20000101_000003_366_accel_adxl375.csv@6634672;0.0;0.0;-0.357
@20000101_000003_366_accel_adxl375.csv@6685902;0.0;0.0;0.254
@20000101_000003_366_accel_adxl375.csv@6744905;0.0;0.0;-0.25
@20000101_000003_366_accel_adxl375.csv@6796371;0.0;0.0;-0.477
@20000101_000003_366_accel_adxl375.csv@6846289;0.0;0.0;-0.472
@20000101_000003_366_accel_adxl375.csv@6896401;0.0;0.0;0.135
@20000101_000003_366_accel_adxl375.csv@6945915;0.0;0.0;-0.416
@20000101_000003_366_accel_adxl375.csv@6994836;0.0;0.0;-0.36
@20000101_000003_366_accel_adxl375.csv@7054573;0.0;0.0;-0.319
@20000101_000003_366_accel_adxl375.csv@7104602;0.0;0.0;0.108
@20000101_000003_366_accel_adxl375.csv@7164706;0.0;0.0;-0.23
@20000101_000003_366_accel_adxl375.csv@7216026;0.0;0.0;-0.018
@20000101_000003_366_accel_adxl375.csv@7266346;0.0;0.0;0.415
@20000101_000003_366_accel_adxl375.csv@7315514;0.0;0.0;-0.469
@20000101_000003_366_accel_adxl375.csv@7366300;0.0;0.0;0.223
@20000101_000003_366_accel_adxl375.csv@7416051;0.0;0.0;-0.34
