@20000101_000004_645_accel_adxl375.csv@uptime;ax;ay;az
@20000101_000004_645_accel_adxl375.csv@4161789;0.0;0.0;3.792
@20000101_000004_645_accel_adxl375.csv@4220556;0.0;0.0;3.674
@20000101_000004_645_accel_adxl375.csv@4280565;0.0;0.0;3.78
@20000101_000004_645_accel_adxl375.csv@4337634;0.0;0.0;3.002
@20000101_000004_645_accel_adxl375.csv@4390564;0.0;0.0;3.594
@20000101_000004_645_accel_adxl375.csv@4450661;0.0;0.0;3.807
@20000101_000004_645_accel_adxl375.csv@4510680;0.0;0.0;3.523
@20000101_000004_645_accel_adxl375.csv@4570690;0.0;0.0;3.299
@20000101_000004_645_accel_adxl375.csv@4630669;0.0;0.0;3.174
@20000101_000004_645_accel_adxl375.csv@4690673;0.0;0.0;3.564
@20000101_000004_645_accel_adxl375.csv@4750742;0.0;0.0;3.17
@20000101_000004_645_accel_adxl375.csv@4801400;0.0;0.0;3.6
@20000101_000004_645_accel_adxl375.csv@4860607;0.0;0.0;3.742
@20000101_000004_645_accel_adxl375.csv@4920595;0.0;0.0;3.118
@20000101_000004_645_accel_adxl375.csv@4980618;0.0;0.0;3.082
@20000101_000004_645_accel_adxl375.csv@5040562;0.0;0.0;3.775
@20000101_000004_645_accel_adxl375.csv@5100562;0.0;0.0;3.165
@20000101_000004_645_accel_adxl375.csv@5160710;0.0;0.0;3.387
@20000101_000004_645_accel_adxl375.csv@5220637;0.0;0.0;3.226
@20000101_000004_645_accel_adxl375.csv@5280572;0.0;0.0;3.284
@20000101_000004_645_accel_adxl375.csv@5340583;0.0;0.0;3.105
@20000101_000004_645_accel_adxl375.csv@5400601;0.0;0.0;3.612
@20000101_000004_645_accel_adxl375.csv@5460594;0.0;0.0;3.168
@20000101_000004_645_accel_adxl375.csv@5520579;0.0;0.0;3.325
@20000101_000004_645_accel_adxl375.csv@5580681;0.0;0.0;3.517
@20000101_000004_645_accel_adxl375.csv@5640583;0.0;0.0;3.323
@20000101_000004_645_accel_adxl375.csv@5700574;0.0;0.0;3.637
@20000101_000004_645_accel_adxl375.csv@5750534;0.0;0.0;3.371
@20000101_000004_645_accel_adxl375.csv@5801485;0.0;0.0;2.983
@20000101_000004_645_accel_adxl375.csv@5851421;0.0;0.0;3.56
@20000101_000004_645_accel_adxl375.csv@5901403;0.0;0.0;3.398
@20000101_000004_645_accel_adxl375.csv@5960556;0.0;0.0;3.387
@20000101_000004_645_accel_adxl375.csv@6020601;0.0;0.0;2.898
@20000101_000004_645_accel_adxl375.csv@6080594;0.0;0.0;2.744
@20000101_000004_645_accel_adxl375.csv@6140585;0.0;0.0;3.066
@20000101_000004_645_accel_adxl375.csv@6200598;0.0;0.0;2.739
@20000101_000004_645_accel_adxl375.csv@6260781;0.0;0.0;3.393
@20000101_000004_645_accel_adxl375.csv@6320583;0.0;0.0;2.879
@20000101_000004_645_accel_adxl375.csv@6380569;0.0;0.0;3.353
@20000101_000004_645_accel_adxl375.csv@6440583;0.0;0.0;3.35
@20000101_000004_645_accel_adxl375.csv@6500541;0.0;0.0;3.381
@20000101_000004_645_accel_adxl375.csv@6560594;0.0;0.0;2.629
@20000101_000004_645_accel_adxl375.csv@6620584;0.0;0.0;3.163
@20000101_000004_645_accel_adxl375.csv@6680542;0.0;0.0;2.695
@20000101_000004_645_accel_adxl375.csv@6740613;0.0;0.0;3.131
@20000101_000004_645_accel_adxl375.csv@6800588;0.0;0.0;2.627
@20000101_000004_645_accel_adxl375.csv@6860581;0.0;0.0;2.803
@20000101_000004_645_accel_adxl375.csv@6920591;0.0;0.0;2.692
@20000101_000004_645_accel_adxl375.csv@6980585;0.0;0.0;2.643
@20000101_000004_645_accel_adxl375.csv@7040601;0.0;0.0;2.858
@20000101_000004_645_accel_adxl375.csv@7100580;0.0;0.0;2.568
@20000101_000004_645_accel_adxl375.csv@7160556;0.0;0.0;2.533
@20000101_000004_645_accel_adxl375.csv@7210608;0.0;0.0;2.999
@20000101_000004_645_accel_adxl375.csv@7270718;0.0;0.0;2.596
@20000101_000004_645_accel_adxl375.csv@7330685;0.0;0.0;2.922
@20000101_000004_645_accel_adxl375.csv@7390666;0.0;0.0;2.991
@20000101_000004_645_accel_adxl375.csv@7450638;0.0;0.0;2.878
@20000101_000004_645_accel_adxl375.csv@7510684;0.0;0.0;2.698
@20000101_000004_645_accel_adxl375.csv@7561412;0.0;0.0;2.925
@20000101_000004_645_accel_adxl375.csv@7620618;0.0;0.0;2.736
@20000101_000004_645_accel_adxl375.csv@7680568;0.0;0.0;0.038
@20000101_000004_645_accel_adxl375.csv@7740577;0.0;0.0;0.093
@20000101_000004_645_accel_adxl375.csv@7800565;0.0;0.0;-0.033
@20000101_000004_645_accel_adxl375.csv@7860589;0.0;0.0;0.002
@20000101_000004_645_accel_adxl375.csv@7920576;0.0;0.0;0.029
@20000101_000004_645_accel_adxl375.csv@7980558;0.0;0.0;0.096
@20000101_000004_645_accel_adxl375.csv@8040700;0.0;0.0;0.023
@20000101_000004_645_accel_adxl375.csv@8100576;0.0;0.0;0.038
@20000101_000004_645_accel_adxl375.csv@8160571;0.0;0.0;-0.096
@20000101_000004_645_accel_adxl375.csv@8220844;0.0;0.0;0.028
@20000101_000004_645_accel_adxl375.csv@8271523;0.0;0.0;-0.027
@20000101_000004_645_accel_adxl375.csv@8330700;0.0;0.0;0.049
@20000101_000004_645_accel_adxl375.csv@8381466;0.0;0.0;-0.052
@20000101_000004_645_accel_adxl375.csv@8440593;0.0;0.0;-0.048
@20000101_000004_645_accel_adxl375.csv@8500595;0.0;0.0;-0.048
@20000101_000004_645_accel_adxl375.csv@8560623;0.0;0.0;0.091
@20000101_000004_645_accel_adxl375.csv@8620579;0.0;0.0;0.008
@20000101_000004_645_accel_adxl375.csv@8680623;0.0;0.0;-0.032
@20000101_000004_645_accel_adxl375.csv@8740559;0.0;0.0;0.044
@20000101_000004_645_accel_adxl375.csv@8800578;0.0;0.0;-0.083
@20000101_000004_645_accel_adxl375.csv@8860708;0.0;0.0;-0.079
@20000101_000004_645_accel_adxl375.csv@8920601;0.0;0.0;0.032
@20000101_000004_645_accel_adxl375.csv@8980594;0.0;0.0;-0.025
@20000101_000004_645_accel_adxl375.csv@9040586;0.0;0.0;-0.094
@20000101_000004_645_accel_adxl375.csv@9100586;0.0;0.0;-0.08
@20000101_000004_645_accel_adxl375.csv@9160591;0.0;0.0;0.017
@20000101_000004_645_accel_adxl375.csv@9220774;0.0;0.0;-0.099
@20000101_000004_645_accel_adxl375.csv@9282156;0.0;0.0;0.067
@20000101_000004_645_accel_adxl375.csv@9340608;0.0;0.0;0.075
@20000101_000004_645_accel_adxl375.csv@9400605;0.0;0.0;0.089
@20000101_000004_645_accel_adxl375.csv@9460563;0.0;0.0;0.073
@20000101_000004_645_accel_adxl375.csv@9520589;0.0;0.0;-0.052
@20000101_000004_645_accel_adxl375.csv@9580575;0.0;0.0;0.032
@20000101_000004_645_accel_adxl375.csv@9640586;0.0;0.0;-0.096
@20000101_000004_645_accel_adxl375.csv@9700602;0.0;0.0;0.056
@20000101_000004_645_accel_adxl375.csv@9760615;0.0;0.0;-0.082
@20000101_000004_645_accel_adxl375.csv@9820570;0.0;0.0;0.066
@20000101_000004_645_accel_adxl375.csv@9880713;0.0;0.0;-0.037
@20000101_000004_645_accel_adxl375.csv@9940584;0.0;0.0;0.033
@20000101_000004_645_accel_adxl375.csv@9990601;0.0;0.0;0.027
@20000101_000004_645_accel_adxl375.csv@10050711;0.0;0.0;0.086
@20000101_000004_645_accel_adxl375.csv@10110706;0.0;0.0;-0.096
@20000101_000004_645_accel_adxl375.csv@10170705;0.0;0.0;-0.05
@20000101_000004_645_accel_adxl375.csv@10237182;0.0;0.0;-0.031
@20000101_000004_645_accel_adxl375.csv@10290818;0.0;0.0;-0.096
@20000101_000004_645_accel_adxl375.csv@10342416;0.0;0.0;-0.076
@20000101_000004_645_accel_adxl375.csv@10400632;0.0;0.0;-0.0
@20000101_000004_645_accel_adxl375.csv@10460584;0.0;0.0;-0.067
@20000101_000004_645_accel_adxl375.csv@10520598;0.0;0.0;0.097
@20000101_000004_645_accel_adxl375.csv@10580632;0.0;0.0;0.092
@20000101_000004_645_accel_adxl375.csv@10640582;0.0;0.0;0.002
@20000101_000004_645_accel_adxl375.csv@10700586;0.0;0.0;0.078
@20000101_000004_645_accel_adxl375.csv@10760599;0.0;0.0;0.029
@20000101_000004_645_accel_adxl375.csv@10820599;0.0;0.0;0.087
@20000101_000004_645_accel_adxl375.csv@10880579;0.0;0.0;-0.006
@20000101_000004_645_accel_adxl375.csv@10940606;0.0;0.0;0.059
@20000101_000004_645_accel_adxl375.csv@11000600;0.0;0.0;0.052
@20000101_000004_645_accel_adxl375.csv@11060586;0.0;0.0;0.021
@20000101_000004_645_accel_adxl375.csv@11120600;0.0;0.0;0.042
@20000101_000004_645_accel_adxl375.csv@11180616;0.0;0.0;0.059
@20000101_000004_645_accel_adxl375.csv@11240590;0.0;0.0;-0.055
@20000101_000004_645_accel_adxl375.csv@11300980;0.0;0.0;0.069
@20000101_000004_645_accel_adxl375.csv@11360617;0.0;0.0;0.026
@20000101_000004_645_accel_adxl375.csv@11420622;0.0;0.0;0.078
@20000101_000004_645_accel_adxl375.csv@11480602;0.0;0.0;0.035
@20000101_000004_645_accel_adxl375.csv@11540598;0.0;0.0;-0.057
