@20000101_000004_169_accel_adxl375.csv@uptime;ax;ay;az
@20000101_000004_169_accel_adxl375.csv@4218284;0.0;0.0;5.23
@20000101_000004_169_accel_adxl375.csv@4267408;0.0;0.0;1.941
@20000101_000004_169_accel_adxl375.csv@4317495;0.0;0.0;2.389
@20000101_000004_169_accel_adxl375.csv@4367440;0.0;0.0;1.271
@20000101_000004_169_accel_adxl375.csv@4417503;0.0;0.0;2.192
@20000101_000004_169_accel_adxl375.csv@4467418;0.0;0.0;4.782
@20000101_000004_169_accel_adxl375.csv@4517515;0.0;0.0;2.085
@20000101_000004_169_accel_adxl375.csv@4567409;0.0;0.0;2.535
@20000101_000004_169_accel_adxl375.csv@4617514;0.0;0.0;3.763
@20000101_000004_169_accel_adxl375.csv@4667396;0.0;0.0;5.473
@20000101_000004_169_accel_adxl375.csv@4717505;0.0;0.0;5.189
@20000101_000004_169_accel_adxl375.csv@4784656;0.0;0.0;1.562
@20000101_000004_169_accel_adxl375.csv@4834525;0.0;0.0;3.748
@20000101_000004_169_accel_adxl375.csv@4877919;0.0;0.0;4.211
@20000101_000004_169_accel_adxl375.csv@4924538;0.0;0.0;3.174
@20000101_000004_169_accel_adxl375.csv@4968129;0.0;0.0;5.39
@20000101_000004_169_accel_adxl375.csv@5017498;0.0;0.0;4.769
@20000101_000004_169_accel_adxl375.csv@5067459;0.0;0.0;2.761
@20000101_000004_169_accel_adxl375.csv@5117563;0.0;0.0;5.424
@20000101_000004_169_accel_adxl375.csv@5168159;0.0;0.0;5.512
@20000101_000004_169_accel_adxl375.csv@5219236;0.0;0.0;4.451
@20000101_000004_169_accel_adxl375.csv@5268086;0.0;0.0;2.195
@20000101_000004_169_accel_adxl375.csv@5319022;0.0;0.0;2.029
@20000101_000004_169_accel_adxl375.csv@5374572;0.0;0.0;3.419
@20000101_000004_169_accel_adxl375.csv@5418947;0.0;0.0;3.572
@20000101_000004_169_accel_adxl375.csv@5469006;0.0;0.0;3.236
@20000101_000004_169_accel_adxl375.csv@5517540;0.0;0.0;2.943
@20000101_000004_169_accel_adxl375.csv@5569013;0.0;0.0;2.841
@20000101_000004_169_accel_adxl375.csv@5619000;0.0;0.0;2.283
@20000101_000004_169_accel_adxl375.csv@5668186;0.0;0.0;2.464
@20000101_000004_169_accel_adxl375.csv@5717581;0.0;0.0;3.32
@20000101_000004_169_accel_adxl375.csv@5767467;0.0;0.0;2.768
@20000101_000004_169_accel_adxl375.csv@5817553;0.0;0.0;4.737
@20000101_000004_169_accel_adxl375.csv@5868994;0.0;0.0;4.369
@20000101_000004_169_accel_adxl375.csv@5917565;0.0;0.0;3.612
@20000101_000004_169_accel_adxl375.csv@5967414;0.0;0.0;3.098
@20000101_000004_169_accel_adxl375.csv@6019062;0.0;0.0;1.562
@20000101_000004_169_accel_adxl375.csv@6068158;0.0;0.0;3.647
@20000101_000004_169_accel_adxl375.csv@6119021;0.0;0.0;3.28
@20000101_000004_169_accel_adxl375.csv@6174549;0.0;0.0;5.115
@20000101_000004_169_accel_adxl375.csv@6224689;0.0;0.0;2.49
@20000101_000004_169_accel_adxl375.csv@6268155;0.0;0.0;3.447
@20000101_000004_169_accel_adxl375.csv@6317698;0.0;0.0;4.343
@20000101_000004_169_accel_adxl375.csv@6367455;0.0;0.0;1.69
@20000101_000004_169_accel_adxl375.csv@6417668;0.0;0.0;4.155
@20000101_000004_169_accel_adxl375.csv@6467411;0.0;0.0;2.504
@20000101_000004_169_accel_adxl375.csv@6517507;0.0;0.0;4.56
@20000101_000004_169_accel_adxl375.csv@6568151;0.0;0.0;2.325
@20000101_000004_169_accel_adxl375.csv@6617475;0.0;0.0;3.069
@20000101_000004_169_accel_adxl375.csv@6667490;0.0;0.0;1.724
@20000101_000004_169_accel_adxl375.csv@6717538;0.0;0.0;2.021
@20000101_000004_169_accel_adxl375.csv@6767442;0.0;0.0;4.192
@20000101_000004_169_accel_adxl375.csv@6817542;0.0;0.0;4.308
@20000101_000004_169_accel_adxl375.csv@6867401;0.0;0.0;2.896
@20000101_000004_169_accel_adxl375.csv@6917532;0.0;0.0;2.02
@20000101_000004_169_accel_adxl375.csv@6967404;0.0;0.0;1.39
@20000101_000004_169_accel_adxl375.csv@7017518;0.0;0.0;3.91
@20000101_000004_169_accel_adxl375.csv@7067429;0.0;0.0;1.241
@20000101_000004_169_accel_adxl375.csv@7117503;0.0;0.0;1.391
@20000101_000004_169_accel_adxl375.csv@7167437;0.0;0.0;2.684
@20000101_000004_169_accel_adxl375.csv@7227462;0.0;0.0;1.229
@20000101_000004_169_accel_adxl375.csv@7277535;0.0;0.0;2.063
@20000101_000004_169_accel_adxl375.csv@7327422;0.0;0.0;0.896
@20000101_000004_169_accel_adxl375.csv@7377498;0.0;0.0;1.199
@20000101_000004_169_accel_adxl375.csv@7427428;0.0;0.0;3.686
@20000101_000004_169_accel_adxl375.csv@7478141;0.0;0.0;1.967
@20000101_000004_169_accel_adxl375.csv@7527445;0.0;0.0;3.696
@20000101_000004_169_accel_adxl375.csv@7577551;0.0;0.0;2.807
@20000101_000004_169_accel_adxl375.csv@7627424;0.0;0.0;3.73
@20000101_000004_169_accel_adxl375.csv@7677545;0.0;0.0;-0.251
@20000101_000004_169_accel_adxl375.csv@7727420;0.0;0.0;0.345
@20000101_000004_169_accel_adxl375.csv@7777537;0.0;0.0;-0.123
@20000101_000004_169_accel_adxl375.csv@7827448;0.0;0.0;-0.254
@20000101_000004_169_accel_adxl375.csv@7877552;0.0;0.0;-0.348
@20000101_000004_169_accel_adxl375.csv@7927450;0.0;0.0;-0.491
@20000101_000004_169_accel_adxl375.csv@7977552;0.0;0.0;0.307
@20000101_000004_169_accel_adxl375.csv@8027382;0.0;0.0;0.221
@20000101_000004_169_accel_adxl375.csv@8077530;0.0;0.0;0.388
@20000101_000004_169_accel_adxl375.csv@8127437;0.0;0.0;0.096
@20000101_000004_169_accel_adxl375.csv@8177567;0.0;0.0;0.104
