@20260609_104444_286_accel_adxl375.csv@uptime;ax;ay;az
@20260609_104444_286_accel_adxl375.csv@609311403;0.0;0.0;3.107
@20260609_104444_286_accel_adxl375.csv@609360932;0.0;0.0;3.08
@20260609_104444_286_accel_adxl375.csv@609411030;0.0;0.0;3.163
@20260609_104444_286_accel_adxl375.csv@609462380;0.0;0.0;3.162
@20260609_104444_286_accel_adxl375.csv@609511257;0.0;0.0;3.193
@20260609_104444_286_accel_adxl375.csv@609560910;0.0;0.0;3.134
@20260609_104444_286_accel_adxl375.csv@609603602;0.0;0.0;3.125
@20260609_104444_286_accel_adxl375.csv@609651005;0.0;0.0;3.356
@20260609_104444_286_accel_adxl375.csv@609700928;0.0;0.0;3.316
@20260609_104444_286_accel_adxl375.csv@609751042;0.0;0.0;3.431
@20260609_104444_286_accel_adxl375.csv@609800898;0.0;0.0;3.452
@20260609_104444_286_accel_adxl375.csv@609851064;0.0;0.0;3.245
@20260609_104444_286_accel_adxl375.csv@609900879;0.0;0.0;3.281
@20260609_104444_286_accel_adxl375.csv@609951002;0.0;0.0;3.405
@20260609_104444_286_accel_adxl375.csv@610000875;0.0;0.0;3.271
@20260609_104444_286_accel_adxl375.csv@610051037;0.0;0.0;3.163
@20260609_104444_286_accel_adxl375.csv@610100879;0.0;0.0;3.371
@20260609_104444_286_accel_adxl375.csv@610151024;0.0;0.0;3.255
@20260609_104444_286_accel_adxl375.csv@610200896;0.0;0.0;3.38
@20260609_104444_286_accel_adxl375.csv@610251044;0.0;0.0;3.353
@20260609_104444_286_accel_adxl375.csv@610300981;0.0;0.0;3.051
@20260609_104444_286_accel_adxl375.csv@610351054;0.0;0.0;3.218
@20260609_104444_286_accel_adxl375.csv@610400891;0.0;0.0;3.156
@20260609_104444_286_accel_adxl375.csv@610443820;0.0;0.0;3.036
@20260609_104444_286_accel_adxl375.csv@610491015;0.0;0.0;3.086
@20260609_104444_286_accel_adxl375.csv@610540890;0.0;0.0;3.071
@20260609_104444_286_accel_adxl375.csv@610591937;0.0;0.0;3.202
