@20260609_104526_491_accel_adxl375.csv@uptime;ax;ay;az
@20260609_104526_491_accel_adxl375.csv@651205096;0.0;0.0;4.476
@20260609_104526_491_accel_adxl375.csv@651252827;0.0;0.0;4.69
@20260609_104526_491_accel_adxl375.csv@651302818;0.0;0.0;4.493
@20260609_104526_491_accel_adxl375.csv@651352967;0.0;0.0;4.853
@20260609_104526_491_accel_adxl375.csv@651402925;0.0;0.0;4.895
@20260609_104526_491_accel_adxl375.csv@651445202;0.0;0.0;4.89
@20260609_104526_491_accel_adxl375.csv@651492846;0.0;0.0;4.831
@20260609_104526_491_accel_adxl375.csv@651535082;0.0;0.0;4.754
@20260609_104526_491_accel_adxl375.csv@651582825;0.0;0.0;4.685
@20260609_104526_491_accel_adxl375.csv@651626129;0.0;0.0;4.687
@20260609_104526_491_accel_adxl375.csv@651672787;0.0;0.0;4.498
@20260609_104526_491_accel_adxl375.csv@651715181;0.0;0.0;4.613
@20260609_104526_491_accel_adxl375.csv@651762789;0.0;0.0;4.452
@20260609_104526_491_accel_adxl375.csv@651805432;0.0;0.0;4.545
@20260609_104526_491_accel_adxl375.csv@651852780;0.0;0.0;4.363
@20260609_104526_491_accel_adxl375.csv@651895141;0.0;0.0;4.848
@20260609_104526_491_accel_adxl375.csv@651942823;0.0;0.0;4.369
@20260609_104526_491_accel_adxl375.csv@651985254;0.0;0.0;4.75
@20260609_104526_491_accel_adxl375.csv@652032836;0.0;0.0;4.58
@20260609_104526_491_accel_adxl375.csv@652075175;0.0;0.0;4.408
@20260609_104526_491_accel_adxl375.csv@652122867;0.0;0.0;4.655
@20260609_104526_491_accel_adxl375.csv@652165388;0.0;0.0;4.25
@20260609_104526_491_accel_adxl375.csv@652214921;0.0;0.0;4.475
@20260609_104526_491_accel_adxl375.csv@652262792;0.0;0.0;4.681
@20260609_104526_491_accel_adxl375.csv@652305240;0.0;0.0;4.401
@20260609_104526_491_accel_adxl375.csv@652352848;0.0;0.0;4.5
@20260609_104526_491_accel_adxl375.csv@652395663;0.0;0.0;4.596
@20260609_104526_491_accel_adxl375.csv@652442851;0.0;0.0;4.611
@20260609_104526_491_accel_adxl375.csv@652485232;0.0;0.0;4.25
@20260609_104526_491_accel_adxl375.csv@652532822;0.0;0.0;4.282
@20260609_104526_491_accel_adxl375.csv@652575269;0.0;0.0;4.293
@20260609_104526_491_accel_adxl375.csv@652622770;0.0;0.0;4.325
@20260609_104526_491_accel_adxl375.csv@652664694;0.0;0.0;4.253
@20260609_104526_491_accel_adxl375.csv@652712797;0.0;0.0;4.02
@20260609_104526_491_accel_adxl375.csv@652755185;0.0;0.0;4.276
@20260609_104526_491_accel_adxl375.csv@652802791;0.0;0.0;3.993
@20260609_104526_491_accel_adxl375.csv@652845332;0.0;0.0;4.336
@20260609_104526_491_accel_adxl375.csv@652892924;0.0;0.0;4.198
@20260609_104526_491_accel_adxl375.csv@652935157;0.0;0.0;4.272
@20260609_104526_491_accel_adxl375.csv@652982854;0.0;0.0;-0.026
@20260609_104526_491_accel_adxl375.csv@653025264;0.0;0.0;0.034
@20260609_104526_491_accel_adxl375.csv@653072829;0.0;0.0;-0.014
@20260609_104526_491_accel_adxl375.csv@653115199;0.0;0.0;-0.011
@20260609_104526_491_accel_adxl375.csv@653162839;0.0;0.0;0.017
@20260609_104526_491_accel_adxl375.csv@653205432;0.0;0.0;-0.009
@20260609_104526_491_accel_adxl375.csv@653254782;0.0;0.0;0.021
@20260609_104526_491_accel_adxl375.csv@653302812;0.0;0.0;-0.033
@20260609_104526_491_accel_adxl375.csv@653345268;0.0;0.0;-0.033
@20260609_104526_491_accel_adxl375.csv@653392847;0.0;0.0;0.041
@20260609_104526_491_accel_adxl375.csv@653435200;0.0;0.0;0.03
@20260609_104526_491_accel_adxl375.csv@653482838;0.0;0.0;-0.043
@20260609_104526_491_accel_adxl375.csv@653525277;0.0;0.0;-0.046
@20260609_104526_491_accel_adxl375.csv@653567565;0.0;0.0;0.044
@20260609_104526_491_accel_adxl375.csv@653612780;0.0;0.0;-0.024
@20260609_104526_491_accel_adxl375.csv@653655175;0.0;0.0;0.042
@20260609_104526_491_accel_adxl375.csv@653702828;0.0;0.0;-0.01
@20260609_104526_491_accel_adxl375.csv@653745296;0.0;0.0;0.011
@20260609_104526_491_accel_adxl375.csv@653792831;0.0;0.0;0.036
@20260609_104526_491_accel_adxl375.csv@653835173;0.0;0.0;-0.012
@20260609_104526_491_accel_adxl375.csv@653877481;0.0;0.0;-0.018
@20260609_104526_491_accel_adxl375.csv@653922804;0.0;0.0;-0.046
@20260609_104526_491_accel_adxl375.csv@653965310;0.0;0.0;-0.006
@20260609_104526_491_accel_adxl375.csv@654012848;0.0;0.0;0.01
@20260609_104526_491_accel_adxl375.csv@654055164;0.0;0.0;-0.015
@20260609_104526_491_accel_adxl375.csv@654102856;0.0;0.0;-0.032
@20260609_104526_491_accel_adxl375.csv@654145297;0.0;0.0;0.043
@20260609_104526_491_accel_adxl375.csv@654191896;0.0;0.0;0.016
@20260609_104526_491_accel_adxl375.csv@654234652;0.0;0.0;-0.049
@20260609_104526_491_accel_adxl375.csv@654282802;0.0;0.0;-0.035
@20260609_104526_491_accel_adxl375.csv@654325334;0.0;0.0;0.041
@20260609_104526_491_accel_adxl375.csv@654372800;0.0;0.0;-0.03
@20260609_104526_491_accel_adxl375.csv@654415256;0.0;0.0;-0.049
@20260609_104526_491_accel_adxl375.csv@654462791;0.0;0.0;-0.028
@20260609_104526_491_accel_adxl375.csv@654507323;0.0;0.0;0.027
@20260609_104526_491_accel_adxl375.csv@654553755;0.0;0.0;0.023
@20260609_104526_491_accel_adxl375.csv@654602878;0.0;0.0;0.026
@20260609_104526_491_accel_adxl375.csv@654645304;0.0;0.0;-0.043
@20260609_104526_491_accel_adxl375.csv@654692827;0.0;0.0;-0.047
@20260609_104526_491_accel_adxl375.csv@654735234;0.0;0.0;0.047
@20260609_104526_491_accel_adxl375.csv@654782816;0.0;0.0;0.024
@20260609_104526_491_accel_adxl375.csv@654825340;0.0;0.0;0.045
@20260609_104526_491_accel_adxl375.csv@654872950;0.0;0.0;0.018
@20260609_104526_491_accel_adxl375.csv@654915178;0.0;0.0;0.021
@20260609_104526_491_accel_adxl375.csv@654962857;0.0;0.0;0.023
@20260609_104526_491_accel_adxl375.csv@655005320;0.0;0.0;-0.017
@20260609_104526_491_accel_adxl375.csv@655052833;0.0;0.0;0.046
@20260609_104526_491_accel_adxl375.csv@655095184;0.0;0.0;-0.048
@20260609_104526_491_accel_adxl375.csv@655142832;0.0;0.0;0.033
@20260609_104526_491_accel_adxl375.csv@655185302;0.0;0.0;0.009
@20260609_104526_491_accel_adxl375.csv@655235210;0.0;0.0;-0.0
@20260609_104526_491_accel_adxl375.csv@655282800;0.0;0.0;-0.032
@20260609_104526_491_accel_adxl375.csv@655325286;0.0;0.0;-0.048
@20260609_104526_491_accel_adxl375.csv@655372861;0.0;0.0;0.003
@20260609_104526_491_accel_adxl375.csv@655415186;0.0;0.0;-0.006
@20260609_104526_491_accel_adxl375.csv@655462812;0.0;0.0;0.012
@20260609_104526_491_accel_adxl375.csv@655505286;0.0;0.0;0.027
@20260609_104526_491_accel_adxl375.csv@655547485;0.0;0.0;-0.023
@20260609_104526_491_accel_adxl375.csv@655592777;0.0;0.0;-0.013
@20260609_104526_491_accel_adxl375.csv@655635178;0.0;0.0;0.0
@20260609_104526_491_accel_adxl375.csv@655682825;0.0;0.0;0.033
@20260609_104526_491_accel_adxl375.csv@655725279;0.0;0.0;0.011
@20260609_104526_491_accel_adxl375.csv@655772831;0.0;0.0;0.01
@20260609_104526_491_accel_adxl375.csv@655815194;0.0;0.0;-0.046
@20260609_104526_491_accel_adxl375.csv@655857525;0.0;0.0;-0.021
@20260609_104526_491_accel_adxl375.csv@655902783;0.0;0.0;0.039
@20260609_104526_491_accel_adxl375.csv@655945302;0.0;0.0;-0.022
@20260609_104526_491_accel_adxl375.csv@655992864;0.0;0.0;-0.013
@20260609_104526_491_accel_adxl375.csv@656035161;0.0;0.0;-0.025
@20260609_104526_491_accel_adxl375.csv@656082853;0.0;0.0;0.011
@20260609_104526_491_accel_adxl375.csv@656125284;0.0;0.0;-0.028
@20260609_104526_491_accel_adxl375.csv@656167530;0.0;0.0;-0.008
@20260609_104526_491_accel_adxl375.csv@656225918;0.0;0.0;0.016
@20260609_104526_491_accel_adxl375.csv@656274984;0.0;0.0;-0.027
@20260609_104526_491_accel_adxl375.csv@656322816;0.0;0.0;-0.006
@20260609_104526_491_accel_adxl375.csv@656365325;0.0;0.0;0.046
@20260609_104526_491_accel_adxl375.csv@656412853;0.0;0.0;-0.037
@20260609_104526_491_accel_adxl375.csv@656455164;0.0;0.0;0.0
@20260609_104526_491_accel_adxl375.csv@656502827;0.0;0.0;0.031
@20260609_104526_491_accel_adxl375.csv@656545302;0.0;0.0;-0.039
@20260609_104526_491_accel_adxl375.csv@656587456;0.0;0.0;-0.029
@20260609_104526_491_accel_adxl375.csv@656632815;0.0;0.0;0.049
@20260609_104526_491_accel_adxl375.csv@656675073;0.0;0.0;-0.039
@20260609_104526_491_accel_adxl375.csv@656722850;0.0;0.0;0.018
@20260609_104526_491_accel_adxl375.csv@656765187;0.0;0.0;-0.036
@20260609_104526_491_accel_adxl375.csv@656812833;0.0;0.0;-0.018
@20260609_104526_491_accel_adxl375.csv@656855077;0.0;0.0;-0.027
@20260609_104526_491_accel_adxl375.csv@656904761;0.0;0.0;0.041
@20260609_104526_491_accel_adxl375.csv@656952812;0.0;0.0;-0.015
@20260609_104526_491_accel_adxl375.csv@656995058;0.0;0.0;0.004
@20260609_104526_491_accel_adxl375.csv@657042813;0.0;0.0;-0.041
@20260609_104526_491_accel_adxl375.csv@657085206;0.0;0.0;-0.015
@20260609_104526_491_accel_adxl375.csv@657132854;0.0;0.0;-0.046
@20260609_104526_491_accel_adxl375.csv@657175080;0.0;0.0;-0.018
@20260609_104526_491_accel_adxl375.csv@657221625;0.0;0.0;1.0
@20260609_104526_491_accel_adxl375.csv@657263371;0.0;0.0;0.946
@20260609_104526_491_accel_adxl375.csv@657305408;0.0;0.0;0.93
@20260609_104526_491_accel_adxl375.csv@657352947;0.0;0.0;0.91
@20260609_104526_491_accel_adxl375.csv@657395310;0.0;0.0;1.06
@20260609_104526_491_accel_adxl375.csv@657442913;0.0;0.0;1.11
@20260609_104526_491_accel_adxl375.csv@657485450;0.0;0.0;0.93
@20260609_104526_491_accel_adxl375.csv@657528226;0.0;0.0;1.056
@20260609_104526_491_accel_adxl375.csv@657572892;0.0;0.0;0.95
@20260609_104526_491_accel_adxl375.csv@657615324;0.0;0.0;0.973
@20260609_104526_491_accel_adxl375.csv@657662943;0.0;0.0;0.982
@20260609_104526_491_accel_adxl375.csv@657705457;0.0;0.0;1.074
@20260609_104526_491_accel_adxl375.csv@657752932;0.0;0.0;1.047
@20260609_104526_491_accel_adxl375.csv@657795317;0.0;0.0;1.106
@20260609_104526_491_accel_adxl375.csv@657838180;0.0;0.0;1.014
@20260609_104526_491_accel_adxl375.csv@657882881;0.0;0.0;0.939
@20260609_104526_491_accel_adxl375.csv@657925454;0.0;0.0;1.135
@20260609_104526_491_accel_adxl375.csv@657972922;0.0;0.0;1.141
@20260609_104526_491_accel_adxl375.csv@658015306;0.0;0.0;0.984
@20260609_104526_491_accel_adxl375.csv@658062896;0.0;0.0;1.067
@20260609_104526_491_accel_adxl375.csv@658105447;0.0;0.0;1.136
@20260609_104526_491_accel_adxl375.csv@658148735;0.0;0.0;1.098
@20260609_104526_491_accel_adxl375.csv@658192873;0.0;0.0;1.043
@20260609_104526_491_accel_adxl375.csv@658235289;0.0;0.0;1.099
@20260609_104526_491_accel_adxl375.csv@658283020;0.0;0.0;1.043
@20260609_104526_491_accel_adxl375.csv@658325460;0.0;0.0;1.117
@20260609_104526_491_accel_adxl375.csv@658372898;0.0;0.0;1.12
@20260609_104526_491_accel_adxl375.csv@658415490;0.0;0.0;1.12
@20260609_104526_491_accel_adxl375.csv@658462871;0.0;0.0;1.021
@20260609_104526_491_accel_adxl375.csv@658505523;0.0;0.0;1.124
@20260609_104526_491_accel_adxl375.csv@658552890;0.0;0.0;1.033
