@20260609_104810_750_accel_adxl375.csv@uptime;ax;ay;az
@20260609_104810_750_accel_adxl375.csv@815171350;0.0;0.0;2.946
@20260609_104810_750_accel_adxl375.csv@815220847;0.0;0.0;2.701
@20260609_104810_750_accel_adxl375.csv@815270968;0.0;0.0;2.7
@20260609_104810_750_accel_adxl375.csv@815322219;0.0;0.0;2.653
@20260609_104810_750_accel_adxl375.csv@815371170;0.0;0.0;2.774
@20260609_104810_750_accel_adxl375.csv@815420842;0.0;0.0;3.017
@20260609_104810_750_accel_adxl375.csv@815463579;0.0;0.0;2.931
@20260609_104810_750_accel_adxl375.csv@815510914;0.0;0.0;2.861
@20260609_104810_750_accel_adxl375.csv@815560838;0.0;0.0;2.969
@20260609_104810_750_accel_adxl375.csv@815610978;0.0;0.0;2.783
@20260609_104810_750_accel_adxl375.csv@815660818;0.0;0.0;2.894
@20260609_104810_750_accel_adxl375.csv@815710972;0.0;0.0;2.682
@20260609_104810_750_accel_adxl375.csv@815760823;0.0;0.0;2.797
@20260609_104810_750_accel_adxl375.csv@815810908;0.0;0.0;2.858
@20260609_104810_750_accel_adxl375.csv@815860778;0.0;0.0;2.641
@20260609_104810_750_accel_adxl375.csv@815910920;0.0;0.0;2.973
@20260609_104810_750_accel_adxl375.csv@815960826;0.0;0.0;2.717
@20260609_104810_750_accel_adxl375.csv@816010995;0.0;0.0;2.621
@20260609_104810_750_accel_adxl375.csv@816060787;0.0;0.0;2.981
@20260609_104810_750_accel_adxl375.csv@816111066;0.0;0.0;2.681
@20260609_104810_750_accel_adxl375.csv@816160910;0.0;0.0;2.964
@20260609_104810_750_accel_adxl375.csv@816204004;0.0;0.0;2.893
@20260609_104810_750_accel_adxl375.csv@816250911;0.0;0.0;2.901
@20260609_104810_750_accel_adxl375.csv@816300796;0.0;0.0;2.658
@20260609_104810_750_accel_adxl375.csv@816350962;0.0;0.0;2.671
@20260609_104810_750_accel_adxl375.csv@816400807;0.0;0.0;2.934
@20260609_104810_750_accel_adxl375.csv@816450944;0.0;0.0;2.913
@20260609_104810_750_accel_adxl375.csv@816500947;0.0;0.0;2.703
