@20260609_104635_238_accel_adxl375.csv@uptime;ax;ay;az
@20260609_104635_238_accel_adxl375.csv@720531280;0.0;0.0;4.05
@20260609_104635_238_accel_adxl375.csv@720580759;0.0;0.0;4.144
@20260609_104635_238_accel_adxl375.csv@720630885;0.0;0.0;4.159
@20260609_104635_238_accel_adxl375.csv@720682162;0.0;0.0;4.185
@20260609_104635_238_accel_adxl375.csv@720731092;0.0;0.0;3.979
@20260609_104635_238_accel_adxl375.csv@720780755;0.0;0.0;3.959
@20260609_104635_238_accel_adxl375.csv@720823485;0.0;0.0;3.882
@20260609_104635_238_accel_adxl375.csv@720870843;0.0;0.0;3.864
@20260609_104635_238_accel_adxl375.csv@720920762;0.0;0.0;4.12
@20260609_104635_238_accel_adxl375.csv@720970879;0.0;0.0;4.185
@20260609_104635_238_accel_adxl375.csv@721020690;0.0;0.0;4.087
@20260609_104635_238_accel_adxl375.csv@721070880;0.0;0.0;4.045
@20260609_104635_238_accel_adxl375.csv@721120734;0.0;0.0;3.706
@20260609_104635_238_accel_adxl375.csv@721170883;0.0;0.0;3.785
@20260609_104635_238_accel_adxl375.csv@721220741;0.0;0.0;3.876
@20260609_104635_238_accel_adxl375.csv@721270885;0.0;0.0;3.922
@20260609_104635_238_accel_adxl375.csv@721320753;0.0;0.0;4.098
@20260609_104635_238_accel_adxl375.csv@721370981;0.0;0.0;3.648
@20260609_104635_238_accel_adxl375.csv@721420711;0.0;0.0;4.056
@20260609_104635_238_accel_adxl375.csv@721463423;0.0;0.0;3.962
@20260609_104635_238_accel_adxl375.csv@721505686;0.0;0.0;3.894
@20260609_104635_238_accel_adxl375.csv@721550829;0.0;0.0;3.684
@20260609_104635_238_accel_adxl375.csv@721600759;0.0;0.0;3.73
@20260609_104635_238_accel_adxl375.csv@721650837;0.0;0.0;4.019
@20260609_104635_238_accel_adxl375.csv@721700873;0.0;0.0;3.755
@20260609_104635_238_accel_adxl375.csv@721750822;0.0;0.0;3.604
@20260609_104635_238_accel_adxl375.csv@721794217;0.0;0.0;3.967
@20260609_104635_238_accel_adxl375.csv@721840746;0.0;0.0;3.848
@20260609_104635_238_accel_adxl375.csv@721890816;0.0;0.0;3.787
@20260609_104635_238_accel_adxl375.csv@721940780;0.0;0.0;3.569
@20260609_104635_238_accel_adxl375.csv@721990836;0.0;0.0;3.578
@20260609_104635_238_accel_adxl375.csv@722040774;0.0;0.0;3.865
@20260609_104635_238_accel_adxl375.csv@722090834;0.0;0.0;3.75
@20260609_104635_238_accel_adxl375.csv@722140779;0.0;0.0;3.552
@20260609_104635_238_accel_adxl375.csv@722190836;0.0;0.0;3.644
@20260609_104635_238_accel_adxl375.csv@722240778;0.0;0.0;3.657
@20260609_104635_238_accel_adxl375.csv@722290817;0.0;0.0;3.564
@20260609_104635_238_accel_adxl375.csv@722340885;0.0;0.0;3.383
@20260609_104635_238_accel_adxl375.csv@722390846;0.0;0.0;3.638
@20260609_104635_238_accel_adxl375.csv@722433822;0.0;0.0;3.711
@20260609_104635_238_accel_adxl375.csv@722480713;0.0;0.0;3.27
@20260609_104635_238_accel_adxl375.csv@722530956;0.0;0.0;3.563
@20260609_104635_238_accel_adxl375.csv@722580739;0.0;0.0;3.584
@20260609_104635_238_accel_adxl375.csv@722630846;0.0;0.0;3.5
@20260609_104635_238_accel_adxl375.csv@722680766;0.0;0.0;3.415
@20260609_104635_238_accel_adxl375.csv@722730829;0.0;0.0;3.261
@20260609_104635_238_accel_adxl375.csv@722780756;0.0;0.0;3.275
@20260609_104635_238_accel_adxl375.csv@722830830;0.0;0.0;3.376
@20260609_104635_238_accel_adxl375.csv@722880770;0.0;0.0;3.336
@20260609_104635_238_accel_adxl375.csv@722930837;0.0;0.0;3.136
@20260609_104635_238_accel_adxl375.csv@722980856;0.0;0.0;3.276
@20260609_104635_238_accel_adxl375.csv@723030827;0.0;0.0;3.179
@20260609_104635_238_accel_adxl375.csv@723073834;0.0;0.0;3.161
@20260609_104635_238_accel_adxl375.csv@723120723;0.0;0.0;3.142
@20260609_104635_238_accel_adxl375.csv@723170827;0.0;0.0;3.15
@20260609_104635_238_accel_adxl375.csv@723220743;0.0;0.0;2.994
@20260609_104635_238_accel_adxl375.csv@723270826;0.0;0.0;3.238
@20260609_104635_238_accel_adxl375.csv@723320806;0.0;0.0;3.12
@20260609_104635_238_accel_adxl375.csv@723370831;0.0;0.0;2.87
@20260609_104635_238_accel_adxl375.csv@723420785;0.0;0.0;3.147
@20260609_104635_238_accel_adxl375.csv@723470830;0.0;0.0;2.864
@20260609_104635_238_accel_adxl375.csv@723520800;0.0;0.0;3.07
@20260609_104635_238_accel_adxl375.csv@723570914;0.0;0.0;3.006
@20260609_104635_238_accel_adxl375.csv@723620875;0.0;0.0;2.997
@20260609_104635_238_accel_adxl375.csv@723670828;0.0;0.0;2.964
@20260609_104635_238_accel_adxl375.csv@723713732;0.0;0.0;2.837
@20260609_104635_238_accel_adxl375.csv@723760753;0.0;0.0;2.989
@20260609_104635_238_accel_adxl375.csv@723810815;0.0;0.0;2.757
@20260609_104635_238_accel_adxl375.csv@723860787;0.0;0.0;2.942
@20260609_104635_238_accel_adxl375.csv@723910811;0.0;0.0;2.865
@20260609_104635_238_accel_adxl375.csv@723960760;0.0;0.0;2.791
@20260609_104635_238_accel_adxl375.csv@724010839;0.0;0.0;-0.042
@20260609_104635_238_accel_adxl375.csv@724060773;0.0;0.0;-0.005
@20260609_104635_238_accel_adxl375.csv@724111037;0.0;0.0;-0.022
@20260609_104635_238_accel_adxl375.csv@724160752;0.0;0.0;0.009
@20260609_104635_238_accel_adxl375.csv@724210847;0.0;0.0;-0.003
@20260609_104635_238_accel_adxl375.csv@724260895;0.0;0.0;-0.008
@20260609_104635_238_accel_adxl375.csv@724310836;0.0;0.0;0.018
@20260609_104635_238_accel_adxl375.csv@724353793;0.0;0.0;-0.024
@20260609_104635_238_accel_adxl375.csv@724400747;0.0;0.0;-0.043
@20260609_104635_238_accel_adxl375.csv@724450828;0.0;0.0;0.02
@20260609_104635_238_accel_adxl375.csv@724500786;0.0;0.0;0.001
@20260609_104635_238_accel_adxl375.csv@724544253;0.0;0.0;0.021
@20260609_104635_238_accel_adxl375.csv@724590901;0.0;0.0;-0.002
@20260609_104635_238_accel_adxl375.csv@724640738;0.0;0.0;0.043
@20260609_104635_238_accel_adxl375.csv@724690903;0.0;0.0;-0.045
@20260609_104635_238_accel_adxl375.csv@724740746;0.0;0.0;-0.049
@20260609_104635_238_accel_adxl375.csv@724783840;0.0;0.0;-0.034
@20260609_104635_238_accel_adxl375.csv@724830849;0.0;0.0;-0.037
@20260609_104635_238_accel_adxl375.csv@724880720;0.0;0.0;-0.043
@20260609_104635_238_accel_adxl375.csv@724930892;0.0;0.0;-0.035
@20260609_104635_238_accel_adxl375.csv@724980742;0.0;0.0;-0.012
@20260609_104635_238_accel_adxl375.csv@725030886;0.0;0.0;-0.032
@20260609_104635_238_accel_adxl375.csv@725080736;0.0;0.0;0.004
@20260609_104635_238_accel_adxl375.csv@725130893;0.0;0.0;-0.01
@20260609_104635_238_accel_adxl375.csv@725180741;0.0;0.0;0.021
@20260609_104635_238_accel_adxl375.csv@725230877;0.0;0.0;0.03
@20260609_104635_238_accel_adxl375.csv@725280737;0.0;0.0;-0.02
@20260609_104635_238_accel_adxl375.csv@725330989;0.0;0.0;0.008
@20260609_104635_238_accel_adxl375.csv@725380718;0.0;0.0;-0.017
@20260609_104635_238_accel_adxl375.csv@725423815;0.0;0.0;-0.017
@20260609_104635_238_accel_adxl375.csv@725470826;0.0;0.0;0.031
@20260609_104635_238_accel_adxl375.csv@725520857;0.0;0.0;0.013
@20260609_104635_238_accel_adxl375.csv@725564529;0.0;0.0;0.001
@20260609_104635_238_accel_adxl375.csv@725610866;0.0;0.0;-0.046
@20260609_104635_238_accel_adxl375.csv@725660783;0.0;0.0;-0.012
@20260609_104635_238_accel_adxl375.csv@725710848;0.0;0.0;0.026
@20260609_104635_238_accel_adxl375.csv@725760860;0.0;0.0;0.036
@20260609_104635_238_accel_adxl375.csv@725810848;0.0;0.0;0.002
@20260609_104635_238_accel_adxl375.csv@725853837;0.0;0.0;0.015
@20260609_104635_238_accel_adxl375.csv@725900730;0.0;0.0;-0.019
@20260609_104635_238_accel_adxl375.csv@725950853;0.0;0.0;0.048
@20260609_104635_238_accel_adxl375.csv@726000779;0.0;0.0;-0.005
@20260609_104635_238_accel_adxl375.csv@726050836;0.0;0.0;-0.013
@20260609_104635_238_accel_adxl375.csv@726100780;0.0;0.0;-0.011
@20260609_104635_238_accel_adxl375.csv@726150861;0.0;0.0;0.011
@20260609_104635_238_accel_adxl375.csv@726200802;0.0;0.0;0.024
@20260609_104635_238_accel_adxl375.csv@726250857;0.0;0.0;-0.027
@20260609_104635_238_accel_adxl375.csv@726300769;0.0;0.0;0.011
@20260609_104635_238_accel_adxl375.csv@726350863;0.0;0.0;-0.025
@20260609_104635_238_accel_adxl375.csv@726400920;0.0;0.0;-0.029
@20260609_104635_238_accel_adxl375.csv@726450826;0.0;0.0;-0.045
@20260609_104635_238_accel_adxl375.csv@726493797;0.0;0.0;0.035
@20260609_104635_238_accel_adxl375.csv@726540756;0.0;0.0;-0.01
@20260609_104635_238_accel_adxl375.csv@726584723;0.0;0.0;0.04
@20260609_104635_238_accel_adxl375.csv@726630879;0.0;0.0;-0.048
@20260609_104635_238_accel_adxl375.csv@726680732;0.0;0.0;-0.037
@20260609_104635_238_accel_adxl375.csv@726730912;0.0;0.0;-0.023
@20260609_104635_238_accel_adxl375.csv@726780728;0.0;0.0;-0.034
@20260609_104635_238_accel_adxl375.csv@726830877;0.0;0.0;-0.016
@20260609_104635_238_accel_adxl375.csv@726880729;0.0;0.0;0.014
@20260609_104635_238_accel_adxl375.csv@726923506;0.0;0.0;-0.004
@20260609_104635_238_accel_adxl375.csv@726970824;0.0;0.0;-0.029
@20260609_104635_238_accel_adxl375.csv@727020740;0.0;0.0;-0.033
@20260609_104635_238_accel_adxl375.csv@727070869;0.0;0.0;-0.017
@20260609_104635_238_accel_adxl375.csv@727120727;0.0;0.0;0.031
@20260609_104635_238_accel_adxl375.csv@727170880;0.0;0.0;0.042
@20260609_104635_238_accel_adxl375.csv@727220733;0.0;0.0;-0.026
@20260609_104635_238_accel_adxl375.csv@727270887;0.0;0.0;0.045
@20260609_104635_238_accel_adxl375.csv@727320737;0.0;0.0;0.037
@20260609_104635_238_accel_adxl375.csv@727370896;0.0;0.0;-0.026
@20260609_104635_238_accel_adxl375.csv@727420755;0.0;0.0;0.038
@20260609_104635_238_accel_adxl375.csv@727471027;0.0;0.0;-0.046
