uptime;temp;mem_free;load
443904769;33;32732592;0
444911783;33;32361264;24
445925476;33;31889024;8
446938583;33;31444880;33
447952136;33;30991376;32
448977405;33;30483824;28
450002130;33;30035568;0
451026111;33;29581168;4
452054885;33;29097200;20
453101155;33;28527824;36
454148863;33;28054640;28
455199366;33;27588992;28
456250075;33;27117168;29
457300943;33;26650784;32
458353301;33;26175168;40
459402867;33;25697232;34
460453546;33;25211856;33
461504535;33;24740304;9
462600359;33;24321136;8
463698787;33;23851424;49
464795426;33;23363968;11
465888164;33;22885584;0
466982284;33;22399504;1
468078282;33;21912432;21
469176986;33;21412640;9
470271580;33;20916800;9
471367084;33;20433200;4
472466651;33;19943424;19
473563882;33;19459696;28
474662501;33;18979536;13
475761980;33;18498608;9
476859130;33;18013184;21
477956764;33;17527616;8
479055500;33;17048096;21
480154148;33;16568064;23
481334895;33;16064672;26
482515627;33;15570128;18
483703065;33;15091568;2
484885223;33;14602288;19
486067024;33;14098336;21
487249143;33;13607104;13
488432508;33;13105904;19
489619096;33;12625536;19
490805561;33;12156224;0
491991951;33;11665808;18
493175987;33;11186208;31
494360575;33;10707968;11
495546111;33;10216176;16
496731133;33;9736320;7
497916326;33;9238144;5
499101904;33;8753504;35
500288615;33;8245824;16
501482191;33;7737888;41
502891591;33;29875392;36
504004508;33;29432496;35
