uptime;temp;mem_free;load
108873901;33;32731968;0
109881045;33;32413488;11
110888504;33;32005568;0
111900152;33;31539664;24
112912834;33;31103456;30
113936981;33;30615328;6
114968910;33;30167376;47
115993927;33;29720032;19
117019849;33;29258352;27
118066087;33;28686608;23
119114316;33;28220800;21
120163338;33;27781152;16
121212169;33;27348352;19
122261281;33;26901904;16
123309828;33;26452160;0
124363030;33;26009168;18
125413705;32;25556240;18
126465574;33;25112240;12
127517168;33;24662096;18
128609279;33;24284112;16
129709817;33;23826048;0
130806676;33;23368640;20
131905691;33;22921024;43
133005820;33;22447008;24
134106260;32;21978320;24
135206651;33;21506336;15
136307101;33;21030912;16
137407390;33;20554288;16
138507992;33;20081744;18
139610243;33;19628896;23
140709594;33;19171472;19
141810163;33;18705712;21
142906624;33;18236688;21
144011861;33;17760640;13
145111660;33;17299536;19
146212052;33;16837440;0
147393646;33;16337776;32
148574909;33;15855984;24
149694377;33;29854176;96
