@20260609_103407_446_accel_adxl375.csv@uptime;ax;ay;az
@20260609_103407_446_accel_adxl375.csv@926861889;0.0;0.0;3.013
@20260609_103407_446_accel_adxl375.csv@926921444;0.0;0.0;3.239
@20260609_103407_446_accel_adxl375.csv@926981478;0.0;0.0;2.925
@20260609_103407_446_accel_adxl375.csv@927023272;0.0;0.0;2.951
@20260609_103407_446_accel_adxl375.csv@927081502;0.0;0.0;3.097
@20260609_103407_446_accel_adxl375.csv@927132031;0.0;0.0;3.243
@20260609_103407_446_accel_adxl375.csv@927182071;0.0;0.0;3.305
@20260609_103407_446_accel_adxl375.csv@927231971;0.0;0.0;3.306
@20260609_103407_446_accel_adxl375.csv@927282003;0.0;0.0;3.174
@20260609_103407_446_accel_adxl375.csv@927341425;0.0;0.0;3.05
@20260609_103407_446_accel_adxl375.csv@927391982;0.0;0.0;3.175
@20260609_103407_446_accel_adxl375.csv@927451343;0.0;0.0;2.923
@20260609_103407_446_accel_adxl375.csv@927501973;0.0;0.0;3.194
@20260609_103407_446_accel_adxl375.csv@927561427;0.0;0.0;3.051
@20260609_103407_446_accel_adxl375.csv@927621551;0.0;0.0;3.211
@20260609_103407_446_accel_adxl375.csv@927681410;0.0;0.0;2.962
@20260609_103407_446_accel_adxl375.csv@927731936;0.0;0.0;3.053
@20260609_103407_446_accel_adxl375.csv@927791291;0.0;0.0;3.007
@20260609_103407_446_accel_adxl375.csv@927841406;0.0;0.0;3.006
@20260609_103407_446_accel_adxl375.csv@927901405;0.0;0.0;3.14
@20260609_103407_446_accel_adxl375.csv@927951931;0.0;0.0;3.164
@20260609_103407_446_accel_adxl375.csv@928011293;0.0;0.0;3.016
@20260609_103407_446_accel_adxl375.csv@928062031;0.0;0.0;2.983
@20260609_103407_446_accel_adxl375.csv@928121403;0.0;0.0;3.159
@20260609_103407_446_accel_adxl375.csv@928171936;0.0;0.0;3.179
@20260609_103407_446_accel_adxl375.csv@928231287;0.0;0.0;3.101
@20260609_103407_446_accel_adxl375.csv@928281926;0.0;0.0;3.166
@20260609_103407_446_accel_adxl375.csv@928341416;0.0;0.0;2.865
@20260609_103407_446_accel_adxl375.csv@928391975;0.0;0.0;3.005
@20260609_103407_446_accel_adxl375.csv@928451294;0.0;0.0;2.897
@20260609_103407_446_accel_adxl375.csv@928501935;0.0;0.0;2.97
@20260609_103407_446_accel_adxl375.csv@928561387;0.0;0.0;3.149
@20260609_103407_446_accel_adxl375.csv@928611915;0.0;0.0;2.933
@20260609_103407_446_accel_adxl375.csv@928671271;0.0;0.0;2.846
@20260609_103407_446_accel_adxl375.csv@928721937;0.0;0.0;3.095
@20260609_103407_446_accel_adxl375.csv@928781404;0.0;0.0;2.842
@20260609_103407_446_accel_adxl375.csv@928831956;0.0;0.0;3.029
@20260609_103407_446_accel_adxl375.csv@928881520;0.0;0.0;2.815
@20260609_103407_446_accel_adxl375.csv@928931932;0.0;0.0;2.946
@20260609_103407_446_accel_adxl375.csv@928991293;0.0;0.0;2.887
@20260609_103407_446_accel_adxl375.csv@929041943;0.0;0.0;2.982
@20260609_103407_446_accel_adxl375.csv@929101395;0.0;0.0;3.014
@20260609_103407_446_accel_adxl375.csv@929151963;0.0;0.0;2.744
@20260609_103407_446_accel_adxl375.csv@929211294;0.0;0.0;2.79
@20260609_103407_446_accel_adxl375.csv@929261941;0.0;0.0;2.693
@20260609_103407_446_accel_adxl375.csv@929321413;0.0;0.0;2.899
@20260609_103407_446_accel_adxl375.csv@929372853;0.0;0.0;2.953
@20260609_103407_446_accel_adxl375.csv@929431288;0.0;0.0;2.603
@20260609_103407_446_accel_adxl375.csv@929482065;0.0;0.0;2.946
@20260609_103407_446_accel_adxl375.csv@929541413;0.0;0.0;2.869
@20260609_103407_446_accel_adxl375.csv@929591938;0.0;0.0;2.733
@20260609_103407_446_accel_adxl375.csv@929651286;0.0;0.0;2.757
@20260609_103407_446_accel_adxl375.csv@929701937;0.0;0.0;2.551
@20260609_103407_446_accel_adxl375.csv@929761403;0.0;0.0;2.536
@20260609_103407_446_accel_adxl375.csv@929811928;0.0;0.0;2.769
@20260609_103407_446_accel_adxl375.csv@929875073;0.0;0.0;2.69
@20260609_103407_446_accel_adxl375.csv@929921925;0.0;0.0;2.486
@20260609_103407_446_accel_adxl375.csv@929981431;0.0;0.0;2.56
@20260609_103407_446_accel_adxl375.csv@930031949;0.0;0.0;2.762
@20260609_103407_446_accel_adxl375.csv@930091277;0.0;0.0;2.684
@20260609_103407_446_accel_adxl375.csv@930141933;0.0;0.0;2.682
@20260609_103407_446_accel_adxl375.csv@930201389;0.0;0.0;2.44
@20260609_103407_446_accel_adxl375.csv@930251930;0.0;0.0;2.67
@20260609_103407_446_accel_adxl375.csv@930311290;0.0;0.0;2.448
@20260609_103407_446_accel_adxl375.csv@930361931;0.0;0.0;0.028
@20260609_103407_446_accel_adxl375.csv@930421427;0.0;0.0;0.05
@20260609_103407_446_accel_adxl375.csv@930471990;0.0;0.0;-0.031
@20260609_103407_446_accel_adxl375.csv@930531313;0.0;0.0;-0.049
@20260609_103407_446_accel_adxl375.csv@930581967;0.0;0.0;0.048
@20260609_103407_446_accel_adxl375.csv@930641441;0.0;0.0;-0.033
@20260609_103407_446_accel_adxl375.csv@930691960;0.0;0.0;0.015
@20260609_103407_446_accel_adxl375.csv@930751321;0.0;0.0;-0.027
@20260609_103407_446_accel_adxl375.csv@930801984;0.0;0.0;0.019
@20260609_103407_446_accel_adxl375.csv@930861431;0.0;0.0;-0.049
@20260609_103407_446_accel_adxl375.csv@930921622;0.0;0.0;0.049
@20260609_103407_446_accel_adxl375.csv@930973708;0.0;0.0;0.006
@20260609_103407_446_accel_adxl375.csv@931021979;0.0;0.0;-0.022
@20260609_103407_446_accel_adxl375.csv@931071953;0.0;0.0;0.02
@20260609_103407_446_accel_adxl375.csv@931122005;0.0;0.0;0.038
@20260609_103407_446_accel_adxl375.csv@931171973;0.0;0.0;0.018
@20260609_103407_446_accel_adxl375.csv@931222998;0.0;0.0;-0.012
@20260609_103407_446_accel_adxl375.csv@931271956;0.0;0.0;0.049
@20260609_103407_446_accel_adxl375.csv@931331288;0.0;0.0;0.0
@20260609_103407_446_accel_adxl375.csv@931383510;0.0;0.0;0.003
@20260609_103407_446_accel_adxl375.csv@931441395;0.0;0.0;0.038
@20260609_103407_446_accel_adxl375.csv@931493508;0.0;0.0;-0.013
@20260609_103407_446_accel_adxl375.csv@931551283;0.0;0.0;0.043
@20260609_103407_446_accel_adxl375.csv@931602049;0.0;0.0;-0.05
@20260609_103407_446_accel_adxl375.csv@931661442;0.0;0.0;-0.009
@20260609_103407_446_accel_adxl375.csv@931712104;0.0;0.0;-0.015
@20260609_103407_446_accel_adxl375.csv@931771301;0.0;0.0;0.011
@20260609_103407_446_accel_adxl375.csv@931821955;0.0;0.0;-0.006
@20260609_103407_446_accel_adxl375.csv@931881452;0.0;0.0;-0.031
@20260609_103407_446_accel_adxl375.csv@931941625;0.0;0.0;-0.005
@20260609_103407_446_accel_adxl375.csv@931993045;0.0;0.0;0.007
@20260609_103407_446_accel_adxl375.csv@932042185;0.0;0.0;-0.015
@20260609_103407_446_accel_adxl375.csv@932092135;0.0;0.0;-0.008
@20260609_103407_446_accel_adxl375.csv@932142210;0.0;0.0;0.041
@20260609_103407_446_accel_adxl375.csv@932192140;0.0;0.0;0.046
@20260609_103407_446_accel_adxl375.csv@932242179;0.0;0.0;0.036
@20260609_103407_446_accel_adxl375.csv@932292143;0.0;0.0;-0.032
@20260609_103407_446_accel_adxl375.csv@932342148;0.0;0.0;-0.008
@20260609_103407_446_accel_adxl375.csv@932392147;0.0;0.0;0.043
@20260609_103407_446_accel_adxl375.csv@932443714;0.0;0.0;0.032
@20260609_103407_446_accel_adxl375.csv@932491953;0.0;0.0;-0.046
@20260609_103407_446_accel_adxl375.csv@932544509;0.0;0.0;-0.041
@20260609_103407_446_accel_adxl375.csv@932591950;0.0;0.0;-0.045
@20260609_103407_446_accel_adxl375.csv@932651264;0.0;0.0;-0.017
@20260609_103407_446_accel_adxl375.csv@932701936;0.0;0.0;0.016
@20260609_103407_446_accel_adxl375.csv@932761401;0.0;0.0;0.021
@20260609_103407_446_accel_adxl375.csv@932811949;0.0;0.0;-0.048
@20260609_103407_446_accel_adxl375.csv@932872308;0.0;0.0;-0.044
@20260609_103407_446_accel_adxl375.csv@932947147;0.0;0.0;0.047
@20260609_103407_446_accel_adxl375.csv@932991917;0.0;0.0;0.023
@20260609_103407_446_accel_adxl375.csv@933041962;0.0;0.0;-0.034
@20260609_103407_446_accel_adxl375.csv@933094084;0.0;0.0;0.025
@20260609_103407_446_accel_adxl375.csv@933151274;0.0;0.0;0.024
@20260609_103407_446_accel_adxl375.csv@933204404;0.0;0.0;0.041
@20260609_103407_446_accel_adxl375.csv@933251951;0.0;0.0;-0.01
@20260609_103407_446_accel_adxl375.csv@933303529;0.0;0.0;-0.024
@20260609_103407_446_accel_adxl375.csv@933351949;0.0;0.0;0.01
